 	notre	mère	a	cultivé	les	taros	</S>
n	0.680271	0.186292	0.0823575	0.0139483	0.0126962	0.0174315	0.00700406
g	0.0591735	0.93983	0.000960055	2.30665e-06	1.99557e-05	6.52566e-07	1.3515e-05
ó	0.0228148	0.976687	0.000433596	3.04743e-05	2.66611e-05	3.10221e-06	4.55144e-06
o	0.0533227	0.944285	0.00175565	0.000270086	0.000294165	4.04481e-05	3.17775e-05
y	0.445024	0.0694699	0.429589	0.0219068	0.0278905	0.00111935	0.00499969
a	0.975318	0.00536253	0.0134773	0.00287961	0.0016952	0.000166085	0.00110134
b	0.972786	0.00282689	0.0207189	0.00219646	0.00127076	2.88806e-05	0.000171981
í	0.860461	0.0217023	0.102494	0.00543258	0.0031836	0.00581545	0.000911715
s	0.948318	0.0021271	0.0394432	0.00275488	0.000475634	0.0056286	0.00125224
í	0.824377	0.0501253	0.106509	0.003002	0.00138421	0.000391695	0.014211
á	0.0460605	0.0022658	0.256639	0.573015	0.100764	0.00408835	0.0171671
s	0.00113499	0.00110316	0.0166567	0.515907	0.39859	0.0224904	0.0441176
á	0.10651	0.00133205	0.0272356	0.502348	0.280372	0.00905235	0.0731499
i	0.0664076	0.0001911	0.0369492	0.6743	0.169472	0.00721192	0.0454676
a	0.00500147	0.000825285	0.135894	0.124869	0.541878	0.125116	0.0664158
b	0.000998395	0.000519326	0.0172456	0.0946973	0.636067	0.210756	0.0397164
h	0.00749592	0.000283748	0.0277319	0.028308	0.119599	0.769883	0.0466985
í	0.00038742	3.31213e-06	0.00307337	0.00816796	0.037608	0.861676	0.0890838
á	0.000892833	1.16611e-05	0.0130137	0.00510059	0.0169275	0.690703	0.27335
</S>	0.0116401	0.000184546	0.0266972	0.0121389	0.229128	0.109442	0.61077
