 	il	abaisse	son	pagne	</S>
w	0.974935	0.014921	0.00753646	0.00240497	0.000202513
a	0.915658	0.0171441	0.0589992	0.00803893	0.000160208
a	0.71734	0.153397	0.0912138	0.0103292	0.0277197
s	0.263855	0.557931	0.0783475	0.0175981	0.0822686
u	0.0115657	0.963445	0.00691372	9.72378e-05	0.0179784
n	0.0449031	0.819039	0.0903698	0.00112329	0.0445643
d	0.0499635	0.61597	0.200085	0.00133642	0.132645
ú	0.162274	0.659463	0.150414	0.000708146	0.0271416
s	0.0334483	0.123211	0.812005	0.014842	0.0164937
ú	0.0095657	0.488631	0.458443	0.00827449	0.0350856
i	0.010471	0.22155	0.677747	0.0385009	0.051731
p	0.00775478	0.026666	0.544296	0.343057	0.078226
ú	0.000304582	0.000411003	0.00758304	0.987527	0.00417451
t	0.00023486	0.00272229	0.0132876	0.970545	0.0132104
a	0.000600758	0.000957217	0.00641574	0.979812	0.0122145
l	0.00583634	0.00376908	0.338046	0.0406398	0.611709
á	0.0149588	0.0112379	0.444145	0.064981	0.464677
w	0.037515	0.0473344	0.541798	0.0524052	0.320947
a	0.0168557	0.0119898	0.570577	0.0881589	0.312419
</S>	0.0018046	0.000732357	0.15788	0.0672578	0.772325
