 	le	bateau	d'	on	yami	remonte	le	fleuve	aujourd'	hui	</S>
a	0.54285	0.342083	0.0292924	0.0436065	0.00639067	0.0267932	0.00370775	0.000513415	0.00433418	0.000405502	2.38826e-05
s	0.0371273	0.917979	0.0381733	0.00307676	0.00148726	0.000781465	0.00054225	0.000172394	0.000319627	4.45582e-05	0.000296401
ú	0.00947868	0.974569	0.0132202	0.000737101	0.000609789	0.000426935	0.000268257	8.19992e-05	5.77295e-06	3.7007e-05	0.000565107
a	0.0750167	0.890042	0.0293216	0.00139194	0.00195615	0.00037436	0.000401214	7.22006e-05	4.3231e-06	1.7004e-05	0.00140274
m	0.128197	0.0370339	0.40577	0.115813	0.0950162	0.00763515	0.0216404	0.00837885	0.0227646	0.00658298	0.151168
ó	0.214955	0.0408742	0.111568	0.175624	0.286486	0.0384644	0.0826174	0.0133217	0.0269395	0.000697369	0.00845238
n	0.247964	0.0357071	0.139039	0.122809	0.241634	0.0895592	0.0596753	0.0139794	0.00426459	0.00129471	0.0440736
y	0.0250488	0.0253116	0.0459858	0.0295551	0.33791	0.487957	0.0380874	0.00347637	0.00034329	4.48239e-05	0.00627956
a	0.0166547	0.109079	0.157187	0.0610467	0.244442	0.244005	0.148231	0.0166106	0.00038293	2.36305e-05	0.00233662
m	0.0225707	0.0382323	0.305273	0.113489	0.201035	0.0889044	0.190585	0.0217667	0.00115413	3.14671e-05	0.016957
í	0.0996863	0.0163238	0.0697074	0.269689	0.368273	0.0393659	0.117505	0.012613	0.00274548	0.000801366	0.00329052
m	0.0816667	0.00369978	0.0755964	0.115541	0.0930588	0.0723445	0.273111	0.0633349	0.169027	0.0253864	0.027233
á	0.121926	0.0080193	0.078614	0.086722	0.142655	0.0751603	0.203658	0.0936278	0.124611	0.00661211	0.0583945
a	0.0330161	0.00686064	0.0579607	0.0738	0.0540462	0.0811174	0.281243	0.333778	0.0330557	0.0110157	0.0341063
n	0.0269594	0.0108699	0.0278722	0.0328826	0.0211295	0.149276	0.202137	0.412851	0.0645313	0.0233373	0.028154
a	0.0190225	0.0268682	0.0259221	0.0146005	0.0884541	0.431236	0.272667	0.109421	0.00197433	4.29261e-05	0.009792
n	0.00294482	0.00080716	0.0714307	0.0298425	0.0330232	0.110358	0.262164	0.333289	0.0628504	0.000783259	0.092508
á	0.0145644	0.0103851	0.0461989	0.0310063	0.0894931	0.219716	0.354683	0.194118	0.0128975	6.28022e-05	0.0268745
p	0.00526278	0.000273004	0.00602359	0.00761177	0.00428669	0.0210998	0.109485	0.136087	0.581957	0.0281869	0.0997263
á	0.000867313	0.000224977	0.00302732	0.0015136	0.000593572	0.000657393	0.0266362	0.0760343	0.0475127	0.81905	0.0238828
b	0.000164408	0.000128643	0.000297478	0.000522392	0.000200849	0.00233756	0.00256105	0.0215114	0.0100542	0.905779	0.0564434
h	0.000246111	1.69995e-05	0.000412304	0.00046566	8.77211e-05	0.0011238	0.0248211	0.167703	0.190139	0.396905	0.21808
a	0.000511225	0.000171652	0.000746422	0.00163749	0.000470172	0.00348625	0.0123985	0.0325774	0.0512627	0.732028	0.16471
</S>	0.00178453	0.000251513	0.00250637	0.00234489	0.000814689	0.00241009	0.0146496	0.0156431	0.102297	0.195309	0.661989
