 	le	malade	est	couché	sur	le	lit	</S>
o	0.760407	0.156719	0.0586813	0.0149943	0.00447521	0.00172092	0.0029363	6.68253e-05
k	0.024532	0.962451	0.00734827	0.00239009	0.000925133	0.000768853	0.000903372	0.000681118
ω	0.00179697	0.98949	0.00302263	0.00109978	0.000743645	0.000529098	0.00196998	0.00134747
n	0.00461373	0.98096	0.00559198	0.00380723	0.000683418	0.00170421	0.00203019	0.000608899
í	0.0306684	0.950653	0.00834269	0.00282389	0.00164008	0.000681717	0.00189878	0.00329134
ó	0.268392	0.110809	0.488105	0.0341314	0.0330868	0.0130323	0.00617983	0.0462645
d	0.140805	0.015714	0.436441	0.111765	0.165525	0.0729398	0.0159724	0.0408377
í	0.110889	0.00260889	0.218889	0.0626423	0.192028	0.0298342	0.000610204	0.382499
b	0.0476307	0.00262667	0.161819	0.163348	0.250555	0.122648	0.00966881	0.241703
ω	0.00842502	0.00212936	0.0814769	0.679253	0.0988164	0.0613543	0.0562251	0.0123196
m	0.003727	0.0115815	0.0849759	0.564162	0.100156	0.0706231	0.10271	0.0620656
ó	0.00852355	0.00174992	0.115568	0.177185	0.214701	0.152194	0.028997	0.301082
b	0.0203053	0.00233014	0.0756203	0.169506	0.129274	0.175767	0.233116	0.194082
é	0.00743169	0.000840655	0.0278898	0.350606	0.0417945	0.0437783	0.499699	0.02796
é	0.00203684	0.000360763	0.0356884	0.3884	0.0751002	0.0323131	0.279952	0.186148
</S>	0.00574922	0.000800158	0.0187132	0.0218212	0.220595	0.260093	0.190901	0.281328
