 	j'	en	ai	assez	de	ton	mauvais	comportement	</S>
n	0.30535	0.331903	0.0636789	0.0644684	0.0703042	0.0508972	0.100328	0.00787242	0.00519771
g	0.964067	0.00676665	0.00486986	0.000633574	0.00194397	0.0167304	0.00205337	0.00283715	9.77937e-05
á	0.93144	0.0312451	0.00483392	0.00110484	0.00132282	0.0141846	0.00234661	0.0124282	0.0010943
í	0.100771	0.249089	0.069501	0.0579167	0.114455	0.137783	0.128077	0.0430506	0.0993571
m	0.187774	0.554532	0.0620246	0.0325821	0.0148737	0.00712133	0.00697145	0.00865661	0.125464
i	0.00181383	0.374854	0.263062	0.115281	0.0331914	0.00127729	0.0208211	0.0330483	0.156651
s	0.0056428	0.584659	0.124554	0.136399	0.0234927	0.00295151	0.00144541	0.00453654	0.116319
á	0.00282642	0.595769	0.102334	0.0496416	0.0111637	0.0110215	0.00143116	0.016094	0.209719
á	0.0141505	0.0585162	0.176973	0.0864081	0.060621	0.0346454	0.0150133	0.0348074	0.518865
o	0.0269639	0.0505648	0.321517	0.195811	0.180304	0.0583066	0.0942917	0.0530607	0.0191795
y	0.00889059	0.0504819	0.106945	0.296351	0.11786	0.177825	0.0132472	0.171493	0.0569072
ú	0.0170335	0.108006	0.169325	0.0725111	0.0470531	0.113641	0.00607199	0.125486	0.340872
r	0.0728825	0.0205361	0.155957	0.109887	0.11927	0.140871	0.0155135	0.0308253	0.334258
á	0.00320374	0.0170808	0.0351086	0.0762596	0.225531	0.58652	0.0121622	0.0234465	0.020687
p	0.0179158	0.01479	0.10705	0.0821686	0.16346	0.253561	0.154012	0.152189	0.054853
ώ	0.00260074	0.00610474	0.0211549	0.16392	0.282791	0.317122	0.0670544	0.088313	0.0509394
ω	0.000385234	0.000805643	0.00613468	0.047822	0.120826	0.683882	0.0591094	0.0420216	0.0390132
m	0.00129378	0.00431383	0.0233434	0.0661072	0.153614	0.0450544	0.479157	0.167807	0.0593094
b	0.000711073	0.013764	0.0265106	0.0452883	0.154278	0.00936824	0.331554	0.134972	0.283554
é	0.000966671	0.0100493	0.0420242	0.0866744	0.299577	0.085548	0.120419	0.161066	0.193675
y	0.000567314	0.00476879	0.024417	0.0864302	0.280497	0.0543312	0.139778	0.0728345	0.336376
á	0.0125058	0.0147717	0.0321961	0.0278188	0.0940804	0.455841	0.173742	0.116875	0.0721688
n	0.00180407	0.00447044	0.0127284	0.0218889	0.125945	0.314296	0.285141	0.0853906	0.148336
ω	0.0286594	0.00116241	0.00994047	0.00182456	0.00942755	0.506633	0.0624604	0.265554	0.114339
</S>	0.00255565	0.001144	0.00899796	0.00500542	0.0174748	0.15629	0.0860295	0.323691	0.398811
