 	cet	homme	a	poussé	de	grands	cris	avant	de	mourir	</S>
m	0.415332	0.543474	0.0269176	0.00230895	0.00498658	0.00185611	0.00234371	0.000766562	0.00195472	1.66387e-05	4.33245e-05
o	0.90503	0.058654	0.0176723	0.0016512	0.00216026	0.000345156	0.00110011	0.000357799	0.00170962	0.000219141	0.0111005
r	0.540436	0.212772	0.0579463	0.126854	0.0183243	0.00335334	0.00461555	0.0106884	0.00219252	0.00422143	0.0185954
o	0.849452	0.0838583	0.0237545	0.00564489	0.0133893	0.0071047	0.00657992	0.000854778	0.00416999	0.00095664	0.00423471
w	0.720156	0.138725	0.117901	0.00884998	0.00136187	0.000612537	0.00132456	0.000178026	0.00383438	0.000265601	0.00679095
ó	0.235474	0.0596803	0.366985	0.0690836	0.0609955	0.0474515	0.0429833	0.00479628	0.0538502	0.0213455	0.0373549
á	0.055234	0.0249755	0.494995	0.0667516	0.0323289	0.0300233	0.027638	0.0016361	0.0496643	0.00760944	0.209144
k	0.000553172	0.00252706	0.0979982	0.791328	0.0579928	0.0163221	0.00560088	0.0117374	0.00133429	0.00598215	0.00862347
a	0.000396242	0.00311094	0.0746633	0.744341	0.100663	0.0427212	0.0162287	0.00699512	0.00170118	0.00404812	0.00513139
y	0.000400586	0.00469003	0.0692495	0.660186	0.153944	0.0644877	0.0184269	0.0146649	0.00133043	0.00429885	0.00832069
i	0.00197475	0.00286265	0.0793293	0.180079	0.336895	0.285077	0.0864146	0.00340035	0.00908358	0.00468566	0.0101979
l	0.00255228	0.0101323	0.0623358	0.0236469	0.140383	0.53897	0.160324	0.00325164	0.0153725	0.00810002	0.0349311
a	0.000746472	0.000599669	0.0139431	0.0702068	0.260576	0.488048	0.109702	0.00545825	0.00730928	0.00758407	0.0358261
p	0.00300631	0.00307363	0.0101238	0.00792805	0.121162	0.519721	0.27659	0.00924502	0.0240719	0.00854953	0.0165288
á	0.000140622	0.00169163	0.00311732	0.0038776	0.113442	0.730672	0.120735	0.00842317	0.00301189	0.0115489	0.00333889
m	0.000132593	0.00121957	0.00681189	0.011223	0.056559	0.735144	0.0976455	0.00733174	0.00404916	0.0234672	0.0564162
i	0.00301883	0.00287155	0.00331215	0.00551575	0.068269	0.197796	0.57477	0.0352823	0.0519265	0.0375612	0.0196759
o	0.00125482	0.00129963	0.00427961	0.00477552	0.0296863	0.0446267	0.258997	0.0936116	0.411641	0.073225	0.0766027
b	0.000122121	0.000491268	0.00229665	0.00468223	0.00915074	0.0248386	0.0597615	0.629556	0.0478524	0.195769	0.0254801
o	6.9752e-05	0.00041551	0.000911637	0.00164862	0.00483137	0.00621309	0.00768868	0.843445	0.00204603	0.125148	0.00758303
s	0.000369321	0.000194795	0.000629904	0.00170886	0.00399541	0.00638503	0.0134068	0.898556	0.00521032	0.0356192	0.0339241
ó	0.000168771	4.09604e-05	0.000302181	0.00355055	0.0100894	0.0167284	0.030404	0.749934	0.0112553	0.0235403	0.153986
b	0.00159246	0.000463909	0.00190464	0.00183787	0.00970061	0.00563619	0.0455713	0.148472	0.400819	0.0954039	0.288598
í	0.00538288	0.00307992	0.0234569	0.0106774	0.0477944	0.101335	0.0811744	0.0426593	0.09808	0.364384	0.221976
w	0.0010152	0.000835521	0.00391781	0.000699096	0.00300508	0.00985799	0.00877991	0.014341	0.0454227	0.634361	0.277765
á	0.00975272	0.00873552	0.0136266	0.00935961	0.0449168	0.106789	0.0785927	0.0101804	0.153285	0.319071	0.245691
a	0.0031453	0.00102648	0.00352784	0.00095928	0.00319557	0.00766059	0.0159045	0.00947432	0.135809	0.296268	0.523029
</S>	0.000204935	0.000655266	0.00590782	0.0198069	0.00940443	0.00541856	0.0136773	0.0984069	0.0649654	0.372417	0.409135
