 	la	pluie	qui	est	tombée	hier	contenait	de	la	grêle	</S>
m	0.574955	0.252657	0.0673009	0.0246743	0.0308472	0.0275215	0.0136333	0.00467172	0.00198518	0.000640211	0.0011136
v	0.0436013	0.775449	0.0852873	0.0163	0.0233672	0.00622938	0.00141132	0.00736033	0.00139013	0.000136763	0.0394672
ú	0.00995918	0.84475	0.0213975	0.0480535	0.0709178	0.00224846	0.000109315	0.00107197	0.00041603	0.000502179	0.000573688
á	0.0283478	0.627368	0.164856	0.087914	0.0352267	0.00404973	0.000608727	0.003489	0.0018455	0.00238132	0.0439134
y	0.0707547	0.0334306	0.697624	0.112669	0.0292928	0.0171009	0.00913576	0.00786548	0.00421536	0.0011329	0.0167787
e	0.309778	0.20095	0.312401	0.0787237	0.0329857	0.0382781	0.0108996	0.00531714	0.00382245	0.000479564	0.00636519
e	0.267964	0.0246186	0.389708	0.126796	0.0612089	0.0738021	0.0240118	0.00771412	0.0057809	0.00039555	0.0179997
n	0.0102569	0.0198533	0.0334495	0.399069	0.280903	0.0870178	0.0495526	0.0317494	0.0133596	0.0198833	0.0549058
ώ	0.0328694	0.15703	0.241782	0.170586	0.235579	0.108866	0.0123701	0.00741947	0.00361997	0.0014075	0.0284709
í	0.0169938	0.0392352	0.257766	0.212627	0.226162	0.188906	0.0197579	0.00801576	0.0126657	0.00188439	0.0159867
l	0.0236687	0.00356564	0.0681453	0.273252	0.344927	0.205067	0.0361825	0.0224876	0.00872487	0.00180827	0.0121723
a	0.00772082	0.00270176	0.031073	0.0923772	0.168699	0.226267	0.209276	0.0666389	0.0321055	0.0109727	0.152169
p	0.00615894	0.00125469	0.01579	0.021247	0.0653428	0.457978	0.404807	0.0137453	0.00484365	0.00138514	0.00744817
ó	0.000850169	0.000931329	0.0047262	0.0203986	0.045785	0.183774	0.704616	0.00904365	0.00144585	0.0235763	0.00485291
a	0.00144243	0.00125942	0.0142118	0.0292962	0.039507	0.209004	0.586879	0.0568864	0.0226709	0.018406	0.0204371
á	0.00253769	0.000881165	0.0164464	0.0128524	0.02864	0.0961598	0.15853	0.269993	0.363608	0.018965	0.031386
d	0.00224931	0.00180052	0.00905167	0.0223914	0.0167728	0.00990085	0.0239032	0.202965	0.503724	0.157343	0.0498983
z	0.00184695	0.000877437	0.00344141	0.00712631	0.0138091	0.0129006	0.0231716	0.155075	0.183977	0.044107	0.553668
e	0.0216505	0.00588968	0.0301953	0.0725545	0.0844558	0.0509886	0.0620842	0.243744	0.180534	0.0594968	0.188407
l	0.00760929	0.000761728	0.015245	0.0167942	0.0250171	0.0211723	0.0126863	0.116298	0.453933	0.158582	0.171902
a	0.00213564	0.000582062	0.00313423	0.00635864	0.0134401	0.0249492	0.0401378	0.12656	0.136063	0.261033	0.385607
k	0.00262597	0.000986836	0.00344156	0.00204961	0.00615461	0.0371525	0.0290162	0.106345	0.149482	0.390139	0.272606
í	0.000312617	0.000279646	0.000561995	0.00118634	0.00263221	0.00354405	0.00523534	0.0128064	0.0196977	0.938362	0.0153812
ε	0.000354167	0.000130657	0.000422701	0.00152687	0.00618993	0.0149596	0.021868	0.0280871	0.0198444	0.665559	0.241058
</S>	0.000640507	0.000240631	0.00117323	0.00182153	0.00339361	0.00532535	0.00473262	0.0840819	0.154433	0.336955	0.407203
