 	la	co-épouse	de	leur	mère	est	enceinte	</S>
m	0.725714	0.203176	0.0420388	0.0249745	0.000632783	0.00280253	0.000354925	0.000306495
b	0.135701	0.716503	0.0410463	0.0448775	0.0167075	0.0284046	0.00131922	0.0154404
á	0.0911988	0.655125	0.0983215	0.134656	0.0136147	0.00262302	0.00302058	0.00143984
á	0.0770315	0.75126	0.0563549	0.0197337	0.00142157	0.0119044	0.00868809	0.0736062
y	0.120868	0.274068	0.368642	0.0798956	0.0219812	0.073218	0.00792836	0.0533993
é	0.150518	0.151135	0.328718	0.195072	0.0521871	0.0234408	0.026257	0.0726718
y	0.0249259	0.0188272	0.219798	0.628171	0.0563197	0.0106757	0.00887823	0.0324045
a	0.0194117	0.0731077	0.299814	0.158086	0.257177	0.0195279	0.0718866	0.100989
n	0.0307463	0.0194939	0.233591	0.600326	0.035664	0.0245605	0.0120693	0.0435493
g	0.0205308	0.0285772	0.199643	0.391486	0.259959	0.0131749	0.0227273	0.0639024
ó	0.0113423	0.0171573	0.192403	0.14548	0.564306	0.00827834	0.0269733	0.0340598
o	0.0188842	0.0105941	0.209855	0.167464	0.392304	0.102874	0.0217817	0.0762427
y	0.0104911	0.00816711	0.201609	0.209015	0.298342	0.246165	0.0159281	0.0102834
a	0.0501185	0.0349959	0.213277	0.425594	0.142684	0.105339	0.0190392	0.00895329
b	0.00338438	0.000687008	0.0640253	0.833997	0.0118903	0.0662227	0.0128137	0.00697946
á	0.016008	0.0137754	0.13552	0.688068	0.0311618	0.0530768	0.0360516	0.0263381
a	0.00739232	0.00175699	0.097503	0.781059	0.0170589	0.049103	0.0148302	0.0312966
a	0.00121537	0.00107417	0.0406207	0.0223326	0.00344459	0.784264	0.0276232	0.119425
d	0.00524772	0.00558791	0.0323757	0.00375158	0.00603908	0.642528	0.230692	0.0737785
í	0.00182965	0.00233485	0.00749952	0.00534961	0.000352286	0.271635	0.158007	0.552992
s	0.00457081	0.000998391	0.0221627	0.0841289	0.000795624	0.272476	0.330517	0.284351
ε	0.00234602	0.00151232	0.00449495	0.0152404	0.000697961	0.0123905	0.921594	0.0417235
n	0.000795798	0.000373528	0.00312187	0.00431042	0.000528452	0.0393929	0.646029	0.305448
g	0.00046459	0.000617187	0.00400978	0.00737764	0.00106407	0.0647051	0.631834	0.289928
έ	0.00115148	0.00108225	0.0195996	0.111376	0.00965026	0.06	0.295651	0.501489
</S>	0.000851725	0.000808389	0.00538307	0.00357833	0.000106236	0.115416	0.354304	0.519552
