 	la	femme	balaye	l'	intérieur	de	la	maison	</S>
o	0.877602	0.0936135	0.0219534	0.00368244	2.67537e-05	0.001408	0.00155608	5.90779e-05	9.83637e-05
y	0.159321	0.736948	0.0929302	0.00445506	0.000742701	0.00107214	0.00139243	0.00105205	0.00208677
ú	0.645841	0.296811	0.0447516	0.00563544	0.000692881	0.00110908	0.000411698	0.00196136	0.00278542
r	0.930477	0.0326344	0.0226642	0.00437471	0.000107156	0.00160453	0.00106911	0.00085399	0.00621512
u	0.81391	0.0426339	0.0921273	0.0234643	0.0013639	0.00517806	0.00593021	0.00976069	0.00563203
l	0.231754	0.0574012	0.425505	0.174128	0.0428961	0.0246757	0.00848726	0.00307428	0.032078
á	0.141065	0.0427114	0.173418	0.129707	0.0489553	0.0578448	0.0180136	0.0323727	0.355913
a	0.449905	0.114537	0.159326	0.175686	0.0680481	0.00888356	0.00737542	0.00599085	0.0102482
w	0.0228017	0.0267946	0.0718374	0.0176223	0.811536	0.0293194	0.00424076	0.00222988	0.0136183
ώ	0.00402697	0.00148947	0.0750959	0.00403204	0.884762	0.0170739	0.00325972	0.00139045	0.00886964
m	0.00202844	0.00181484	0.135257	0.022564	0.79112	0.0258298	0.00833371	0.00414586	0.00890622
b	0.0239164	0.00621571	0.114283	0.398686	0.0918821	0.119149	0.126995	0.0254177	0.093456
ώ	0.0239898	0.00203061	0.136586	0.252654	0.0506661	0.237908	0.200376	0.0232323	0.0725572
s	0.0256611	0.00430631	0.0319256	0.152337	0.0233976	0.203683	0.366751	0.146586	0.0453521
á	0.0299177	0.00013888	0.0350725	0.0137755	0.0435657	0.178645	0.258151	0.278394	0.16234
n	0.0140784	0.00122915	0.00423941	0.0154723	0.00442448	0.0331883	0.128196	0.786227	0.0129448
d	0.000685578	0.000333673	0.00104398	0.00292184	0.000886171	0.00478636	0.0295239	0.954488	0.00533015
é	0.000705699	0.00282448	0.000366444	0.00198902	0.00176366	0.004871	0.0256297	0.946372	0.0154784
e	0.000702981	0.000273642	0.00958923	0.0122974	0.0363348	0.0712604	0.0944586	0.428389	0.346693
</S>	0.00164476	0.000349094	0.013613	0.0180139	0.0163568	0.132599	0.0988004	0.0749052	0.643718
