 	mes	oreilles	sont	bouchées	</S>
n	0.820213	0.165618	0.0121341	0.00115537	0.000879475
g	0.995734	0.00282892	0.00136081	1.71383e-05	5.94228e-05
á	0.984191	0.0126324	0.00294624	0.000114684	0.000115609
a	0.524842	0.210258	0.194058	0.0145178	0.0563234
t	0.0203808	0.90637	0.0292466	0.0347883	0.00921389
ú	0.00189588	0.882304	0.0302779	0.0480945	0.0374278
e	0.0247531	0.685651	0.13287	0.0763994	0.080327
á	0.0892359	0.0670304	0.661547	0.0826256	0.0995614
m	0.0480304	0.0262833	0.276671	0.508609	0.140406
i	0.00726007	0.00652867	0.206626	0.0861489	0.693437
k	0.000241256	0.00573698	0.0168011	0.777064	0.200157
í	1.51188e-05	0.00538247	0.00166613	0.922649	0.070287
n	0.000277853	0.0564873	0.0112865	0.793473	0.138476
d	0.00674811	0.0715562	0.0489792	0.516131	0.356585
a	0.031115	0.0497952	0.0902452	0.147436	0.681409
</S>	0.0260422	0.00737352	0.244658	0.0220413	0.699885
