 	finis	le	reste	de	la	nourriture	qui	est	dans	la	marmite	</S>
s	0.714356	0.187795	0.0280341	0.0200808	0.00847378	0.0165417	0.00729047	0.00427207	0.00266798	0.00728707	0.00210529	0.00109572
ε	0.372394	0.122589	0.0289189	0.0250553	0.0231213	0.00534931	0.0284337	0.0187026	0.0367176	0.215986	0.074135	0.0485975
m	0.462395	0.371747	0.00990121	0.00898237	0.0113974	0.00100934	0.00977538	0.0027182	0.00758528	0.0366659	0.0351064	0.0427167
b	0.154056	0.34616	0.101724	0.116619	0.0726859	0.0128456	0.0642958	0.0256669	0.0196611	0.0271108	0.000260028	0.0589153
í	0.177726	0.437602	0.147231	0.0681889	0.0581289	0.022051	0.0143098	0.0097827	0.0067613	0.0217365	0.00139967	0.035083
s	0.0957983	0.22344	0.283539	0.143492	0.0690503	0.0361648	0.0362347	0.0339108	0.0249312	0.0189181	0.00190101	0.0326198
έ	0.268926	0.29437	0.102757	0.064289	0.0459719	0.00338382	0.044807	0.0185527	0.0190439	0.0476598	0.00158826	0.0886507
b	0.13077	0.306207	0.0497802	0.133417	0.069991	0.0137141	0.0718317	0.0337811	0.0302766	0.0637352	0.00800925	0.0884868
e	0.0334148	0.174887	0.123861	0.189561	0.103482	0.262615	0.0424087	0.0346698	0.00741694	0.016286	0.000376326	0.0110223
a	0.0274736	0.0970799	0.139534	0.14623	0.150376	0.264729	0.0361571	0.0504772	0.0224997	0.0214643	0.000694622	0.0432837
b	0.00897811	0.0307865	0.0205804	0.134296	0.114283	0.130583	0.199159	0.220191	0.0771682	0.0514866	0.000660354	0.0118261
í	0.020382	0.0303999	0.0260845	0.0762275	0.0961907	0.306756	0.0992612	0.182034	0.0524505	0.0642222	0.000365341	0.045626
í	0.0342809	0.0421034	0.0347941	0.0804183	0.0623076	0.154108	0.0927844	0.180998	0.0734388	0.144805	0.0182857	0.0816752
b	0.00693466	0.00679914	0.0292541	0.0164315	0.0222612	0.0180291	0.0659859	0.250542	0.497204	0.0525719	0.0162284	0.0177589
v	0.0130142	0.016564	0.10769	0.0267818	0.0370837	0.0593455	0.0523495	0.199949	0.412831	0.0311855	0.00321134	0.0399949
u	0.0156144	0.00997372	0.0539573	0.0163724	0.0263427	0.0458784	0.0196406	0.169044	0.576897	0.0456043	0.00149817	0.0191779
ú	0.00839168	0.00718819	0.0230254	0.0286365	0.0524975	0.0624541	0.0716618	0.215099	0.427192	0.0550501	0.0160456	0.0327587
s	0.000598883	0.00200478	0.00230454	0.019066	0.0295802	0.043766	0.0520246	0.103047	0.158831	0.44471	0.0505401	0.0935263
á	0.0103953	0.0105554	0.00621133	0.0269373	0.0715076	0.0228448	0.197488	0.0862843	0.117665	0.300099	0.0412043	0.108808
n	0.0100979	0.00796276	0.00205708	0.00567986	0.00971083	0.00717993	0.045998	0.012406	0.0217009	0.140904	0.663196	0.0731067
d	0.00101964	0.00246985	0.00064141	0.00280762	0.00304097	0.0020971	0.00618285	0.00429502	0.00839341	0.176289	0.704801	0.0879619
z	0.000130428	0.000286267	0.000156504	0.000564416	0.000495173	0.000236857	0.000707314	0.000618314	0.00206257	0.0176681	0.868175	0.108899
ú	9.39246e-05	0.000230375	0.00028126	0.00110423	0.00328184	0.000956398	0.00910345	0.00465828	0.00980318	0.0451102	0.774618	0.150759
n	8.98188e-05	0.000159438	0.000136303	0.00030602	0.000748752	0.000137068	0.000665423	0.00045852	0.00265982	0.00892262	0.937633	0.048083
g	0.00567121	0.00436389	0.00703398	0.00845959	0.0163204	0.0145282	0.0392539	0.0554525	0.164072	0.166002	0.200793	0.318049
u	0.000200204	0.000464258	0.000550115	0.0014182	0.00457117	0.000696546	0.00347678	0.00343129	0.011749	0.0542996	0.744074	0.175068
b	0.00261928	0.000995619	0.000930809	0.00300836	0.00297399	0.00327283	0.0110694	0.0202416	0.0413193	0.11527	0.141283	0.657015
í	0.00630882	0.00428133	0.00507754	0.0324276	0.0360248	0.115556	0.0909837	0.16832	0.0770893	0.298612	0.00171025	0.163608
i	0.0191232	0.0125449	0.00260622	0.0181025	0.0142396	0.0507759	0.083966	0.128222	0.137096	0.268166	0.00944037	0.255717
</S>	0.0164305	0.010837	0.012803	0.0104908	0.00855735	0.00355768	0.00992885	0.0578375	0.213404	0.0878963	0.0282183	0.540039
