 	tu	as	fait	une	bonne	action	</S>
n	0.922282	0.0401821	0.0151958	0.00940716	0.00856616	0.00362877	0.000737924
ω	0.834135	0.155525	0.00206249	0.00648548	0.000833767	0.000309228	0.000648411
ó	0.243418	0.447449	0.142886	0.147014	0.0119836	0.00103841	0.00621188
k	0.000779445	0.0289356	0.709012	0.131917	0.0470317	0.027366	0.0549579
y	3.30164e-05	0.00298396	0.505499	0.0970674	0.028073	0.0387678	0.327575
e	0.00091594	0.0154124	0.706387	0.220246	0.0430223	0.00873432	0.0052825
e	0.00213606	0.0192183	0.15098	0.225125	0.406008	0.171546	0.0249864
s	0.000196519	0.0129984	0.0589244	0.261208	0.378925	0.171683	0.116064
í	0.000111692	0.00669758	0.238549	0.50243	0.127885	0.0170178	0.107309
m	0.0016037	0.0354191	0.045507	0.112799	0.259381	0.238363	0.306927
á	7.07587e-05	0.00114388	0.0138819	0.0693068	0.0620383	0.048455	0.805103
ε	7.65571e-05	0.00154283	0.0117289	0.0796435	0.140536	0.325585	0.440887
b	8.62724e-06	0.000214633	0.00726542	0.0912418	0.246822	0.305374	0.349074
v	0.000345981	0.000817757	0.00666102	0.0806668	0.0638168	0.717668	0.130023
έ	0.000302961	0.00172156	0.0493578	0.251067	0.344365	0.272174	0.0810107
</S>	8.28321e-05	0.00105624	0.00578015	0.0253954	0.0865014	0.0940153	0.787169
