 	il	lance	les	cailloux	sur	le	toit	de	la	maison	</S>
w	0.809992	0.0873717	0.0732252	0.0063501	0.00571355	0.0107996	0.00394065	0.00174111	0.000797859	3.15186e-05	3.68122e-05
a	0.949999	0.00984178	0.0172649	0.00109704	0.00401737	0.00891996	0.00633618	0.00141078	0.00103773	1.78039e-05	5.75798e-05
l	0.261548	0.53111	0.170856	0.00578305	0.0102909	0.00717919	0.00343002	0.00362455	0.00250588	0.000228688	0.0034432
á	0.072545	0.107325	0.114724	0.0264012	0.0309417	0.0241502	0.0432075	0.0415753	0.00997876	0.00606083	0.523091
a	0.326389	0.0792466	0.302489	0.0390311	0.0190378	0.0201624	0.04741	0.0305823	0.0176825	0.0285618	0.089408
m	0.00937175	0.411917	0.398558	0.151262	0.0137882	0.00485902	0.00207448	0.000890277	0.00056631	0.000373991	0.0063389
a	0.012301	0.0207014	0.212818	0.72562	0.0111888	0.00448731	0.0062333	0.00125173	0.000280874	2.35356e-05	0.00509399
á	0.016329	0.187406	0.207234	0.538275	0.0178772	0.00845817	0.00833164	0.00161752	0.000458903	8.80312e-05	0.0139248
a	0.0123466	0.0059335	0.299546	0.191252	0.369873	0.0844848	0.00981786	0.00937556	0.00414525	0.00414981	0.00907606
b	0.00205032	0.0159854	0.0655252	0.353949	0.367066	0.149517	0.0259053	0.00720163	0.00247967	0.00381355	0.00650699
v	0.00278384	0.00421685	0.0521045	0.689026	0.105226	0.100266	0.0304919	0.00987651	0.00137784	0.000236294	0.00439521
e	0.00412939	0.00448977	0.145598	0.578082	0.0975883	0.127152	0.0186186	0.0172853	0.00284016	0.000424824	0.00379117
m	0.0023513	0.000561002	0.0232722	0.449595	0.21739	0.160057	0.0698796	0.0419954	0.00363249	0.00180315	0.0294631
ó	0.00331127	0.000376198	0.0218612	0.212427	0.0519025	0.109607	0.471273	0.103294	0.0098116	0.000265077	0.0158715
m	0.00243055	0.00235982	0.0163928	0.0368258	0.120047	0.289489	0.413418	0.0851638	0.0161702	0.00400199	0.0137014
w	0.000751491	0.000459336	0.00419063	0.0170916	0.0263889	0.0797836	0.731997	0.0793535	0.0159609	0.000311521	0.0437112
a	0.000671992	0.000144159	0.00124778	0.0247847	0.00313783	0.0180571	0.927215	0.0175873	0.00357855	0.000777213	0.00279832
n	0.000562753	0.000216676	0.00328611	0.053754	0.042574	0.245584	0.555851	0.0727727	0.00425187	0.000211549	0.0209358
d	0.00648825	0.0125203	0.0149698	0.123732	0.0481746	0.305351	0.37084	0.0532537	0.0118798	0.00733378	0.0454571
z	0.00137402	0.00246589	0.00145184	0.0405546	0.0288625	0.248959	0.450522	0.0971282	0.0207797	0.02836	0.0795424
á	0.00081231	0.00476421	0.00108551	0.0311973	0.0143882	0.108544	0.49174	0.199658	0.0271625	0.0356267	0.0850215
m	0.00321826	0.00174624	0.0109489	0.0173777	0.101046	0.0973886	0.168671	0.403743	0.0461575	0.0129523	0.136751
á	0.00134288	0.0012546	0.005404	0.00311218	0.0172442	0.0393693	0.315684	0.263785	0.106873	0.00370823	0.242222
n	0.00386546	0.00123019	0.00834346	0.001394	0.0244902	0.0676168	0.317313	0.176789	0.282374	0.0882293	0.0283542
d	0.000637343	0.000724755	0.00138205	0.00112581	0.00352861	0.00996728	0.0685786	0.0426941	0.117402	0.723943	0.0300164
é	0.000111899	0.0003987	0.00010578	0.000117721	0.000434615	0.00164291	0.0155356	0.0109595	0.0502362	0.906491	0.0139665
e	8.77953e-06	0.000407557	0.000175113	0.000279837	0.00253902	0.0124074	0.0591953	0.0816393	0.219469	0.50962	0.114259
</S>	0.000236447	0.000910556	0.00167903	0.000977601	0.012052	0.0192959	0.0287919	0.181922	0.208225	0.104943	0.440966
