 	ceux	qui	sont	venus	acheter	la	viande	se	sont	mis	en	rang	</S>
a	0.226232	0.0818924	0.127715	0.0700219	0.0514236	0.266101	0.0585534	0.0899676	0.00541511	0.00612032	0.0146587	0.00175856	0.000140264
s	0.031462	0.0839604	0.0191909	0.0178554	0.682752	0.0993796	0.00434399	0.0239745	0.00513005	0.00895581	0.00850278	0.0138025	0.000690051
ó	0.000663081	0.024291	0.00582747	0.0211897	0.904962	0.0126105	0.0182271	0.00223085	0.00179672	0.000263906	0.000467697	0.00106862	0.00640175
m	0.00125518	0.0198569	0.00926184	0.0324705	0.826626	0.0496565	0.00806694	0.00365622	0.00142196	0.000625494	0.00449763	0.0137708	0.0288344
b	0.035331	0.0987014	0.0194021	0.0435878	0.521647	0.0916579	0.156391	0.0145756	0.00534121	0.000244086	0.00163566	0.00393098	0.00755475
i	0.170327	0.0944197	0.019715	0.019106	0.361546	0.100259	0.0936258	0.0489267	0.0198929	0.0180297	0.00334313	0.00243125	0.048378
n	0.0317294	0.0360503	0.0867759	0.174415	0.0445257	0.179369	0.0734643	0.13832	0.0939481	0.0479667	0.0510491	0.00262965	0.0397558
y	0.00630895	0.0645059	0.0460101	0.11615	0.12208	0.0649356	0.526898	0.0176536	0.00520007	0.00169683	0.0015437	0.00503481	0.0219827
a	0.000296641	0.00615932	0.00846796	0.0146841	0.0138856	0.036572	0.884364	0.0111407	0.00985651	0.00420133	0.002693	0.00518325	0.00249555
m	0.00095715	0.0173683	0.059768	0.143266	0.0294513	0.300789	0.121673	0.120623	0.058048	0.0442555	0.0717893	0.0125193	0.0194924
a	0.00811656	0.0109632	0.0138612	0.0267595	0.0146877	0.293253	0.210955	0.216766	0.138695	0.0199818	0.0262876	0.00516527	0.0145091
á	0.00728214	0.006638	0.126065	0.0801498	0.00211253	0.0625243	0.0460812	0.177978	0.197781	0.100747	0.157808	0.00452085	0.0303125
d	0.00235695	0.00282968	0.011284	0.0188284	0.00563965	0.00582771	0.00529986	0.0317935	0.193099	0.261075	0.41555	0.0115301	0.0348865
i	0.000810223	0.0016488	0.005079	0.0159709	0.00307957	0.0053602	0.00339918	0.0222387	0.182849	0.162741	0.210568	0.0112593	0.374996
m	0.00108977	0.00180785	0.00592602	0.0225654	0.00252837	0.0235384	0.00678574	0.0248783	0.0985325	0.145209	0.557992	0.0311251	0.078021
ó	0.00248631	0.00915261	0.00878119	0.0312725	0.0196673	0.0331197	0.0980088	0.0480687	0.115822	0.0223467	0.227108	0.201136	0.18303
l	0.00145557	0.00341745	0.00234105	0.0107019	0.0100319	0.0223458	0.027601	0.0162751	0.0185893	0.0277726	0.149767	0.660579	0.0491221
ω	0.00112868	0.00163099	0.0049545	0.0137916	0.00653269	0.00324491	0.000760094	0.00431398	0.0197155	0.0269997	0.258363	0.41119	0.247374
n	9.33779e-05	0.000949245	0.00140644	0.00902242	0.00259369	0.00599975	0.0023477	0.00647847	0.0123421	0.00992894	0.0861854	0.727713	0.134939
g	5.88875e-05	0.000569157	0.000108205	0.0011609	0.0019719	0.00536303	0.00187743	0.00463338	0.0110246	0.0210249	0.0682237	0.701361	0.182623
i	2.88039e-05	0.000906699	0.000237914	0.00136842	0.00186464	0.00529912	0.0203085	0.00491229	0.0050979	0.00397787	0.00952936	0.788626	0.157843
l	0.000256713	0.0010579	0.000654312	0.00280074	0.00186313	0.0113427	0.00369372	0.011518	0.0229064	0.0321903	0.103015	0.237621	0.571079
i	0.000885088	0.0046614	0.00182451	0.00743811	0.00887545	0.0229842	0.00729149	0.0117501	0.0280292	0.0246566	0.0793047	0.508736	0.293563
</S>	0.000421814	0.0019483	0.00358446	0.00886359	0.00193315	0.0155372	0.00344954	0.014601	0.0278106	0.0185832	0.136516	0.0872974	0.679453
