 	sa	lettre	d'	expulsion	est	déjà	rédigée	</S>
l	0.399979	0.480966	0.0962264	0.0146407	0.00560474	0.00180834	0.000696205	7.86177e-05
e	0.281524	0.603099	0.0695823	0.00712797	0.0144314	0.0149725	0.005427	0.00383528
k	0.126048	0.687362	0.0639908	0.0419603	0.0418555	0.0141826	0.0072327	0.0173682
á	0.0134303	0.727783	0.0373567	0.0528087	0.010869	0.00378813	0.09876	0.0552042
s	0.0121505	0.865619	0.033765	0.036295	0.00858762	0.00522697	0.0141496	0.0242061
í	0.0900192	0.714985	0.0658826	0.0503728	0.0279989	0.00399247	0.0149878	0.0317608
l	0.268556	0.123002	0.420286	0.0710796	0.0763587	0.0168213	0.00170431	0.0221919
í	0.35969	0.115399	0.185728	0.0758457	0.10177	0.0363485	0.00314444	0.122074
t	0.275768	0.0873541	0.316153	0.160422	0.0729327	0.0241635	0.00298488	0.0602219
ú	0.0904867	0.204336	0.263927	0.274081	0.10045	0.00671611	0.0366598	0.0233438
r	0.0656927	0.209603	0.310249	0.225244	0.134508	0.0137436	0.0175189	0.0234404
a	0.161445	0.305514	0.283182	0.134241	0.020676	0.0038711	0.027076	0.0639952
l	0.0861045	0.0387498	0.354467	0.334332	0.167642	0.00454815	0.00152118	0.0126355
á	0.0574532	0.0276684	0.168132	0.281846	0.17397	0.0374105	0.00624907	0.247272
w	0.138829	0.0282339	0.0963799	0.292523	0.266523	0.0965052	0.02525	0.0557569
a	0.0599827	0.0657605	0.096109	0.362083	0.267392	0.0491424	0.0661647	0.0333656
í	0.00508385	0.00833851	0.0483067	0.276661	0.532148	0.0771768	0.015308	0.0369774
d	0.00427565	0.00412166	0.013455	0.0382196	0.457495	0.428249	0.0131169	0.0410672
í	0.0103967	0.00433513	0.0106391	0.0372576	0.242827	0.392605	0.00677997	0.295159
i	0.00745087	0.00121886	0.007123	0.0276023	0.207086	0.581143	0.0592659	0.10911
k	0.00361976	0.0053694	0.00450248	0.0135496	0.0731261	0.227826	0.601987	0.0700197
y	7.96079e-05	0.00284736	0.000513072	0.000990155	0.00198602	0.00798675	0.973901	0.0116959
έ	0.00183402	0.00421861	0.00101144	0.00703695	0.0099148	0.00597057	0.945178	0.0248358
m	0.0012709	0.00277817	0.00720877	0.0145818	0.0229709	0.0161996	0.848357	0.0866327
b	0.00348718	0.00121554	0.00818498	0.0198301	0.0604554	0.055336	0.168325	0.683165
έ	0.0067488	0.00330528	0.0144436	0.045911	0.0225472	0.0305651	0.564481	0.311998
k	0.00456475	0.00291467	0.00676697	0.00832159	0.0571013	0.0224231	0.280801	0.617107
y	0.00996113	0.0136237	0.00572036	0.0117829	0.00885437	0.0192798	0.678161	0.252617
ε	0.00858539	0.0102116	0.00326228	0.010443	0.00404806	0.00895929	0.875678	0.0788122
m	0.00148902	0.00401904	0.00529903	0.00569059	0.0153887	0.0163916	0.744256	0.207466
b	0.00588184	0.00156606	0.00474119	0.00634152	0.017902	0.0181298	0.421556	0.523882
ε	0.0200031	0.00640037	0.0171152	0.0194723	0.0122386	0.0260251	0.73996	0.158786
</S>	0.0217719	0.0101577	0.0192052	0.0148446	0.0302149	0.0134983	0.124126	0.766181
