 	il	ferme	le	poulailler	</S>
w	0.987093	0.00559238	0.00672055	0.000342903	0.000251443
a	0.984853	0.0017346	0.0121538	0.000602104	0.000656856
l	0.63766	0.236832	0.110059	0.0018146	0.0136334
á	0.187528	0.0558523	0.284831	0.00219068	0.469599
a	0.39472	0.061712	0.160381	0.00211666	0.381071
k	0.00520961	0.93873	0.0335415	0.0128892	0.00962967
a	0.00128037	0.987773	0.00764959	0.00124727	0.00205027
n	0.000686254	0.978965	0.0186967	0.000956457	0.000695389
g	0.0236282	0.868923	0.0965086	0.0010155	0.00992482
á	0.0978819	0.226772	0.292883	0.00910559	0.373358
n	0.0779142	0.0224372	0.802874	0.0791678	0.0176068
d	0.0569181	0.00606697	0.335563	0.00996059	0.591491
é	0.00652935	0.0288139	0.379139	0.093575	0.491943
e	0.0152645	0.135463	0.172414	0.129502	0.547356
y	0.00278139	0.0184313	0.229555	0.296457	0.452775
á	0.00407134	0.00673602	0.176456	0.594141	0.218596
t	0.000589409	0.00623948	0.0639353	0.798666	0.13057
s	0.000358938	0.00176237	0.00283792	0.978814	0.0162272
ó	2.77941e-05	0.00109159	0.00096791	0.989429	0.00848349
s	2.33837e-05	0.00156619	0.00471714	0.913424	0.0802694
ó	2.84428e-05	0.00323462	0.00168221	0.927618	0.067437
</S>	0.00023849	0.00891969	0.047632	0.139931	0.803279
