 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
w	0.267788	0.22857	0.139415	0.132342	0.166037	0.0234026	0.0252378	0.00426493	0.00463422	0.00357774	0.00198866	0.0012876	0.000823425	0.000630259
a	0.188376	0.223138	0.108755	0.149938	0.121232	0.0127081	0.0865737	0.0178207	0.0400259	0.0281813	0.00998954	0.00942484	0.00363234	0.000205956
m	0.0891526	0.131232	0.272815	0.22309	0.1363	0.0152288	0.05957	0.00992797	0.0227654	0.0201472	0.00800387	0.0057354	0.000660382	0.00537074
b	0.0926239	0.35958	0.175384	0.113623	0.0952815	0.0241327	0.00719136	0.00162729	0.0241623	0.0189441	0.00417571	0.00291639	0.00055675	0.079801
í	0.0454064	0.178384	0.102158	0.194289	0.182621	0.167034	0.0406974	0.018267	0.0210381	0.0182162	0.00511521	0.00773067	0.00396055	0.0150824
m	0.131959	0.235137	0.125278	0.145573	0.150718	0.17436	0.0050583	0.00159748	0.00588083	0.00335081	0.000544285	0.00241676	0.00222114	0.0159053
o	0.243634	0.145549	0.193054	0.17986	0.111063	0.0339494	0.00981274	0.0116567	0.0315404	0.0189341	0.00146048	0.00283724	0.00132692	0.0153216
r	0.0815791	0.0584982	0.121841	0.138716	0.102149	0.0467497	0.131171	0.0697217	0.0677492	0.0542365	0.0372775	0.02503	0.00345768	0.0618232
o	0.0706323	0.0397267	0.0864805	0.244658	0.187605	0.0504399	0.0516521	0.0536024	0.0389129	0.0347062	0.0412287	0.0114893	0.00276278	0.0861033
y	0.0222497	0.0240641	0.090338	0.162596	0.144184	0.031291	0.321399	0.0567887	0.0422193	0.0316913	0.0263168	0.0166185	0.00172607	0.0285183
e	0.135399	0.0545012	0.297934	0.273595	0.0748784	0.00512184	0.0418324	0.065772	0.0171105	0.0143426	0.00404971	0.00475494	0.00236738	0.00834119
e	0.0567029	0.0121332	0.374041	0.209797	0.104532	0.0118369	0.112166	0.0290648	0.0221277	0.0168296	0.0090619	0.00939098	0.00157738	0.0307388
