 	quand	j'	irai	en	ville	j'	accepterai	n'	importe	quel	emploi	</S>
w	0.884136	0.107114	0.000172179	0.00203514	0.00190256	0.0011159	0.000628609	0.000478294	0.00101298	0.00119057	0.000173486	4.05641e-05
á	0.841107	0.146381	4.04383e-05	0.00369718	0.00142571	0.00438111	0.00082408	0.000409938	0.000105177	0.000575465	0.00102471	2.79109e-05
á	0.5083	0.141513	0.0535872	0.0367498	0.00945187	0.0371479	0.0364215	0.0248252	0.00787465	0.0318702	0.0156804	0.0965782
n	0.135709	0.658884	0.10718	0.0236937	0.0134915	0.0136782	0.00531471	0.00335884	0.00314592	0.00494057	0.0062453	0.0243585
g	0.00776191	0.95517	0.000538605	0.00181922	0.0155354	0.0102577	0.000262591	0.000439066	0.000307358	0.000998319	0.00216672	0.00474321
á	0.0046053	0.92131	0.0090978	0.00408771	0.0417339	0.00690475	0.0006655	0.000597301	0.000314355	0.000747804	0.0049643	0.0049709
i	0.166856	0.148573	0.188782	0.206227	0.0390194	0.0322406	0.0282812	0.0302276	0.0276366	0.0548789	0.0139044	0.0633742
d	0.0104254	0.0392333	0.773475	0.136644	0.009393	0.00433862	0.00599332	0.0038081	0.005016	0.0023851	0.000972221	0.00831555
z	0.00138129	0.00180655	0.963977	0.0204713	0.00133336	0.000821644	0.00525285	0.00088014	7.43108e-05	0.000297713	0.000228192	0.00347579
w	0.0450715	0.0190276	0.91965	0.0076293	0.00143492	0.000435701	0.00448278	0.000968137	4.21331e-05	0.000156267	9.2916e-05	0.0010091
é	0.0493933	0.0368798	0.556343	0.153598	0.0415311	0.0228044	0.0484144	0.0210429	0.00248234	0.0123031	0.00424638	0.0509611
o	0.0166713	0.117497	0.0541055	0.482914	0.144626	0.0697856	0.0269008	0.00711848	0.00831678	0.013542	0.00384893	0.0546743
n	0.00310871	0.0181864	0.210393	0.386772	0.239687	0.0405365	0.0700269	0.00910487	0.00593275	0.00252997	0.00202815	0.0116938
g	0.00210063	0.0168663	0.0221118	0.132162	0.625073	0.0924521	0.0186484	0.00687803	0.00320098	0.00357463	0.0235883	0.0533436
á	0.0010526	0.00908373	0.020432	0.100035	0.789038	0.0450132	0.011935	0.00216611	0.00064032	0.00181914	0.00754143	0.0112443
l	0.000304302	0.000707841	0.01228	0.111787	0.241185	0.0961292	0.212786	0.0874113	0.0178497	0.0457202	0.0240428	0.149796
á	0.000554737	0.000517483	0.00773278	0.101185	0.305762	0.161528	0.154172	0.0556375	0.0246364	0.0334709	0.0145768	0.140227
p	0.00173222	0.00108155	0.00478945	0.039209	0.134589	0.355838	0.359297	0.0358218	0.0233525	0.0203295	0.00460827	0.0193527
á	0.00988317	0.00122872	0.00201562	0.0053837	0.0331569	0.0534312	0.273386	0.18853	0.343985	0.0405118	0.00675599	0.0417323
l	0.00150536	0.00279512	0.00280919	0.0115704	0.0128914	0.0832244	0.274126	0.142659	0.267415	0.0473181	0.0118239	0.141862
i	0.000321556	0.000186712	0.000833207	0.0122032	0.091316	0.283309	0.2347	0.0931343	0.0749535	0.0582852	0.0327837	0.117973
i	0.000479896	0.000448452	0.000665118	0.0120021	0.0604493	0.380143	0.323569	0.0837626	0.0467153	0.0405696	0.00541518	0.0457803
s	0.00247504	0.00178381	0.00161139	0.0139957	0.0210346	0.136562	0.268492	0.213964	0.185155	0.0645007	0.00775647	0.0826694
á	0.00166127	0.00138158	0.0110474	0.028444	0.0764842	0.214798	0.256517	0.0810867	0.013736	0.0957834	0.0595876	0.159473
l	0.00133128	0.00252901	0.000833091	0.00340233	0.0225206	0.0989067	0.174576	0.271307	0.0849862	0.189831	0.0993436	0.0504342
a	0.00091258	0.00115109	0.00065905	0.00504792	0.0377729	0.181115	0.209463	0.17088	0.0351529	0.135396	0.127048	0.0954009
l	0.00022285	0.000434984	0.000182795	0.00117964	0.00512486	0.0554888	0.111266	0.225201	0.23062	0.272907	0.0589129	0.0384598
í	0.00125882	0.0029393	0.00175527	0.007504	0.0213229	0.109803	0.162754	0.140451	0.0284304	0.113727	0.11177	0.298284
í	0.000248079	0.000936507	0.000325992	0.00233179	0.00941886	0.0416044	0.0779615	0.108734	0.165215	0.325467	0.201054	0.0667021
d	0.00159417	0.0026385	0.00447881	0.0249521	0.0166797	0.089192	0.0775618	0.0614355	0.0695571	0.297446	0.148646	0.205819
i	0.000186217	0.000159786	0.00230467	0.00492471	0.00268605	0.0279134	0.0703841	0.0648396	0.00606003	0.0712985	0.0599586	0.689284
á	0.000136504	8.78422e-05	0.000799161	0.0031681	0.00522737	0.0153934	0.0865171	0.190704	0.140754	0.20497	0.119429	0.232813
n	0.0011078	0.00180379	0.00359195	0.00888689	0.00954538	0.0155956	0.0246074	0.0271203	0.0423785	0.214771	0.380314	0.270278
g	0.000248689	0.00231932	0.000278975	0.00234734	0.0436318	0.0218801	0.00875369	0.0118388	0.00589481	0.119528	0.653233	0.130046
á	0.000135894	0.00314285	0.000112501	0.000911123	0.0460937	0.0161828	0.00425724	0.00823409	0.0050818	0.0791273	0.771399	0.0653221
n	7.16622e-05	2.35815e-05	4.70102e-05	0.000469645	0.000841692	0.00359887	0.0146469	0.0662291	0.06953	0.386096	0.273788	0.184658
g	0.000264825	0.000558374	0.000213844	0.00263954	0.0108292	0.0166824	0.00711463	0.0176144	0.00777507	0.178557	0.533234	0.224517
á	4.98968e-05	0.000682938	1.88526e-05	0.000219941	0.020522	0.011117	0.00305078	0.00754122	0.00383153	0.0618432	0.718248	0.172875
l	9.91434e-05	4.05009e-05	5.53064e-05	0.000533437	0.00100811	0.00427739	0.0082867	0.0436363	0.0759115	0.340344	0.198684	0.327123
í	0.00010715	0.000165406	0.000523178	0.0011344	0.00279083	0.00574285	0.0163279	0.0316493	0.0175039	0.13456	0.487346	0.302149
i	0.000138439	0.000354699	0.000116786	0.000898125	0.00113346	0.00294828	0.00541348	0.0137937	0.030205	0.257336	0.304273	0.383389
