 	vous	pouvez	puiser	l'	eau	du	puits	vous-mêmes	</S>
b	0.979314	0.00556677	0.00475411	0.00612589	0.000774356	0.00168175	0.00144052	0.000303082	3.94027e-05
í	0.961039	0.0167851	0.000580118	0.00133637	0.00505216	0.000668246	0.0115578	0.00283737	0.000143268
n	0.661091	0.24401	0.00274133	0.0049342	0.0217965	0.00613908	0.0317703	0.0199855	0.00753214
í	0.855874	0.0349197	0.00207402	0.00506611	0.026566	0.00358951	0.0143565	0.0100176	0.0475361
l	0.201497	0.340351	0.0181151	0.0254559	0.0316503	0.0303662	0.0238426	0.0245191	0.304203
é	0.0709827	0.0662623	0.0156316	0.0776522	0.119863	0.0410182	0.0642307	0.0355707	0.508789
e	0.156728	0.619459	0.0394703	0.0377148	0.0160398	0.0241084	0.0265887	0.00936395	0.0705276
b	0.0161704	0.841634	0.0348326	0.00770675	0.0160795	0.007775	0.0048586	0.00196099	0.0689825
h	0.00140826	0.984265	0.00643207	0.000524996	0.00362282	0.000963412	0.00146804	0.000110509	0.00120524
e	0.000609543	0.9778	0.0165259	0.000723376	0.00112701	0.000839929	0.000857061	0.000152674	0.00136487
r	0.0192068	0.769224	0.0990657	0.0331108	0.010452	0.0109778	0.0263605	0.00980328	0.0217988
á	0.017002	0.513391	0.158622	0.155039	0.0400839	0.0296559	0.0202649	0.0165751	0.0493669
o	0.0260774	0.11533	0.499445	0.185564	0.0761374	0.0259695	0.0303676	0.0360471	0.00506183
t	0.000439928	0.0126895	0.920497	0.030156	0.00933154	0.00633427	0.0101129	0.00430901	0.00613016
ó	3.1089e-05	0.00695301	0.895768	0.0566706	0.00397758	0.0166835	0.00469814	0.00316581	0.0120527
á	1.65919e-05	0.015303	0.832238	0.116575	0.00367536	0.0157268	0.00308536	0.0013036	0.0120758
m	0.00125671	0.0108059	0.0957566	0.405834	0.360841	0.0584769	0.0390485	0.0106726	0.0173081
á	0.000214973	0.00132259	0.028325	0.0259364	0.727686	0.0643755	0.0339886	0.010124	0.108027
a	0.00183332	0.00112141	0.0256304	0.16673	0.409918	0.181257	0.0782798	0.118733	0.0164983
m	0.00054241	0.00205185	0.0486989	0.0785423	0.143718	0.366781	0.272222	0.0640985	0.0233451
í	0.000158168	0.00114856	0.00626442	0.00964549	0.391973	0.1528	0.262558	0.013898	0.161554
b	0.000253039	0.000984335	0.0163497	0.0551191	0.125688	0.326673	0.309473	0.116372	0.0490877
é	0.000193038	0.00589339	0.0135482	0.0179287	0.0128972	0.244466	0.521863	0.143089	0.0401223
á	7.34986e-05	0.0038743	0.0388299	0.0383831	0.0378814	0.309331	0.272041	0.154382	0.145203
b	0.000701171	0.0027459	0.00205652	0.0101898	0.092419	0.079085	0.471264	0.112359	0.22918
í	0.00388812	0.0128291	0.0113693	0.0193042	0.00775876	0.114854	0.223459	0.382573	0.223966
n	0.00404198	0.0034384	0.00261377	0.0138231	0.0188775	0.0741979	0.255526	0.535431	0.0920507
í	0.0256187	0.002393	0.00177839	0.019044	0.0734596	0.0841192	0.287372	0.31229	0.193925
m	8.95375e-05	0.000711938	0.00206113	0.0239176	0.0327306	0.105216	0.42918	0.181206	0.224887
έ	0.000133312	0.00188629	0.00456241	0.00301745	0.064439	0.0816339	0.479214	0.0930427	0.272071
n	1.30699e-05	0.000325367	0.0034838	0.0058802	0.00982857	0.128157	0.263584	0.332347	0.256381
έ	0.00140554	0.000109921	0.000931255	0.0205913	0.0154998	0.0460236	0.1062	0.426023	0.383215
</S>	9.67532e-05	4.59727e-05	0.000577535	0.0143955	0.0249191	0.0496494	0.0929117	0.115785	0.701619
