 	c'	est	encore	toi	qui	te	plaint	</S>
o	0.575033	0.203772	0.0559836	0.0277213	0.0329782	0.095211	0.00606419	0.00323648
m	0.117691	0.138216	0.214071	0.0349076	0.0829826	0.121693	0.0838297	0.206609
έ	0.00793555	0.0115284	0.0180185	0.0144281	0.0507044	0.0433481	0.831474	0.0225632
n	0.0272724	0.0837069	0.105128	0.0778883	0.27474	0.244881	0.126748	0.059636
g	0.0718809	0.0675519	0.0921283	0.114906	0.10323	0.265468	0.195913	0.0889216
i	0.0969831	0.0581547	0.0848646	0.156052	0.104107	0.3175	0.0981891	0.0841506
a	0.0744125	0.0811358	0.053933	0.0625554	0.1926	0.118745	0.149018	0.267601
b	0.00924148	0.0284223	0.0565974	0.0657939	0.290182	0.222755	0.242871	0.0841376
v	0.00825317	0.0291912	0.0153296	0.0548768	0.0551229	0.041806	0.671806	0.123614
ú	0.00183247	0.00473065	0.00359878	0.164018	0.0677357	0.0532957	0.680938	0.0238505
r	0.0117244	0.0222456	0.0263934	0.0545936	0.0377855	0.0967014	0.56615	0.184407
ú	0.00466366	0.00328037	0.00694912	0.0397434	0.10843	0.090735	0.619134	0.127065
o	0.00765372	0.00993166	0.0223996	0.0809324	0.194656	0.289582	0.103595	0.291251
d	0.0211687	0.0850047	0.109536	0.0193037	0.09069	0.164835	0.298564	0.210898
z	0.0109648	0.0232038	0.127575	0.014674	0.119251	0.0883194	0.302446	0.313566
á	0.0239195	0.0229532	0.0707807	0.0208727	0.154821	0.0901036	0.412891	0.203658
n	0.00690145	0.0109061	0.0218298	0.0831512	0.0448769	0.0492379	0.0883704	0.694726
ω	0.00185981	0.00295091	0.00954453	0.0938061	0.0639107	0.0918111	0.262906	0.473211
</S>	0.00358931	0.00761475	0.0184476	0.0235396	0.0461209	0.0598243	0.116518	0.724346
