 	l'	oiseau	est	dans	le	trou	dans	l'	arbre	</S>
n	0.279423	0.553856	0.100688	0.01689	0.0289303	0.0106288	0.00415905	0.00487783	0.000504613	4.23436e-05
y	0.237424	0.713945	0.0186794	0.00729032	0.0186561	0.000229007	0.000640542	0.00266079	0.000394903	7.96276e-05
ω	0.0630834	0.777981	0.027032	0.0694859	0.0461659	0.00168815	0.00269737	0.0051573	0.00307462	0.00363434
s	0.0153295	0.931181	0.0212422	0.00546678	0.0142577	0.000597616	0.000308837	0.00212214	0.000525807	0.008968
í	0.0683187	0.0671778	0.21631	0.0620012	0.0975854	0.00946024	0.0355923	0.0237366	0.00525575	0.414562
a	0.146064	0.00848067	0.565727	0.114225	0.100102	0.029882	0.0145244	0.00362209	0.000396548	0.0169762
d	0.013511	0.0140716	0.291671	0.367695	0.19044	0.0650655	0.029684	0.0104859	0.00134479	0.0160311
i	0.00599736	0.00162123	0.0815926	0.723624	0.110184	0.0142501	0.0246808	0.00520288	9.85762e-05	0.0327479
s	0.00975175	0.000946711	0.0685402	0.414949	0.174518	0.0784722	0.189504	0.0299189	0.000952229	0.0324477
í	0.00896904	0.00183498	0.0538085	0.504819	0.178601	0.0531444	0.101698	0.0256819	0.000619057	0.0708235
b	0.0221507	0.00526705	0.0736496	0.151908	0.294471	0.206431	0.117518	0.0675802	0.010081	0.0509432
o	0.0170228	0.00831769	0.0381781	0.108651	0.117826	0.431065	0.0315779	0.0186258	0.21235	0.0163867
a	0.000607882	0.000664473	0.0104833	0.0198595	0.0533309	0.744716	0.0692475	0.0128701	0.0539347	0.0342862
</S>	0.00649153	0.00161083	0.0240442	0.0281388	0.051601	0.0468625	0.472362	0.232968	0.0499318	0.0859898
