 	le	manioc	que	nyebhi	a	préparé	hier	s'	est	déjà	durci	</S>
i	0.654894	0.26839	0.0518199	0.0141556	0.00788756	0.00110297	8.67591e-05	0.000876293	0.000416856	0.000280218	7.24427e-05	1.7864e-05
k	0.0351945	0.950222	0.00357886	0.00228618	0.000978933	0.0033153	0.000385206	0.000422144	0.000496379	0.00169653	0.000689185	0.00073468
ώ	0.00586171	0.990435	0.00114781	0.00107624	0.000324984	0.000178769	0.000276942	0.00013953	0.000142412	6.98705e-05	0.000198725	0.000147654
ώ	0.0084481	0.966772	0.0158466	0.0039653	0.00138628	0.000819465	0.000622496	0.000501961	0.000257449	0.00027089	0.000773114	0.000336546
b	0.479567	0.0262211	0.447362	0.00806971	0.0169557	0.00231729	0.000995679	0.0034752	0.0031708	0.00237681	0.000248408	0.00924024
í	0.230056	0.0354943	0.251863	0.14003	0.171205	0.00765653	0.00499281	0.0251671	0.0369424	0.011663	0.00626313	0.0786666
í	0.171227	0.0370552	0.150646	0.365675	0.0707106	0.0147998	0.0160762	0.0467717	0.0248608	0.00271401	0.0177933	0.081671
l	0.0174289	0.00287153	0.275008	0.141518	0.269959	0.202848	0.00684299	0.0138043	0.0171885	0.0341713	0.00329073	0.0150676
á	0.0135891	0.00240871	0.108553	0.263195	0.15822	0.284574	0.00368862	0.0342867	0.0367952	0.0307216	0.0129887	0.0509791
m	0.0657475	0.00163644	0.188014	0.192291	0.151879	0.215375	0.0113717	0.0502525	0.0239805	0.00941649	0.00959701	0.0804398
b	0.0556095	0.00031623	0.178295	0.190441	0.259095	0.264756	0.0122874	0.0134905	0.014234	0.00212588	0.00221836	0.00713033
í	0.0077588	0.000392438	0.0671492	0.541471	0.178163	0.153394	0.00851848	0.0129966	0.0145548	0.00323055	0.00371575	0.00865458
n	0.0104855	0.000619703	0.0473164	0.598122	0.162855	0.0910178	0.00391717	0.015929	0.0143222	0.00468568	0.0113698	0.0393594
y	0.0510105	0.00107182	0.149054	0.34781	0.225995	0.150165	0.00750715	0.012963	0.00673822	0.000860421	0.00361772	0.0432065
é	0.0263938	0.00221583	0.119989	0.122788	0.111995	0.173651	0.0197925	0.0296082	0.0209909	0.00325916	0.0325464	0.33677
e	0.016209	0.000822693	0.231808	0.134602	0.295115	0.0793947	0.0803123	0.0970224	0.0332942	0.00580141	0.00600437	0.0196149
b	0.015008	0.00267064	0.109937	0.0738548	0.356328	0.140665	0.140001	0.0903074	0.0311591	0.0168839	0.00495639	0.0182298
h	0.0183896	0.00705141	0.0293178	0.248853	0.371999	0.0603926	0.0744383	0.0994281	0.0582752	0.0149208	0.0027097	0.0142243
í	0.0105319	0.00107665	0.0194183	0.577158	0.146128	0.0294729	0.0123362	0.0752555	0.0329893	0.0104278	0.00909873	0.0761069
l	0.00525225	0.00100858	0.0315945	0.0590416	0.142513	0.117431	0.299275	0.235783	0.0589387	0.0122548	0.00784575	0.0290621
a	0.00330383	0.00185431	0.0115898	0.0224276	0.0392742	0.102207	0.402097	0.142296	0.0608238	0.019258	0.0282262	0.166642
p	0.00435167	0.000738676	0.0132228	0.00400245	0.0133642	0.0184079	0.50319	0.274043	0.066048	0.0365181	0.0330591	0.0330533
ó	0.000227102	0.00138317	0.000661755	0.000528146	0.0018551	0.00181012	0.95397	0.0242938	0.0104531	0.00156125	0.00214374	0.00111283
a	0.000502914	0.00111922	0.00191865	0.00183514	0.00242417	0.0065358	0.764801	0.120385	0.0487218	0.0223417	0.0114045	0.0180102
í	0.000851931	0.00018473	0.00891482	0.00227356	0.00862194	0.0055324	0.0109634	0.278352	0.282115	0.338915	0.0202823	0.0429928
m	0.00369609	0.00145015	0.0126647	0.00187718	0.0158823	0.0150626	0.00688874	0.0516367	0.156324	0.662163	0.0447338	0.0276206
i	0.00192868	3.49584e-05	0.00560459	0.00189347	0.00384956	0.00329711	0.000502131	0.0142336	0.0909015	0.728409	0.102725	0.0466196
s	0.000247529	0.00013761	0.000401602	0.000449913	0.000482364	0.00633885	0.00279922	0.00425399	0.0227744	0.71338	0.236833	0.0119018
á	8.1548e-05	9.28831e-05	0.000482767	0.00129056	0.00110004	0.0453601	0.00366276	0.0112069	0.0381792	0.709071	0.170769	0.0187041
á	0.000474443	7.58063e-05	0.00155648	0.0011335	0.00186508	0.00386356	0.0669648	0.0861367	0.16444	0.208757	0.218977	0.245755
o	0.000787175	0.000326884	0.00342415	0.00282166	0.00491511	0.00198538	0.0175314	0.0809262	0.244766	0.12091	0.41096	0.110646
b	0.000269281	5.81414e-05	0.000333316	0.000232005	0.000254791	0.00164564	0.00125347	0.000864431	0.00654462	0.222756	0.754412	0.0113763
h	0.000426248	0.000295143	0.00249856	0.0144621	0.00395458	0.00602365	0.00108339	0.00654474	0.0408085	0.269971	0.628797	0.0251356
á	0.000225027	0.000357513	0.000619368	0.00213065	0.000844255	0.00117336	0.000296749	0.00349766	0.0239233	0.474173	0.454855	0.0379043
m	0.0013279	0.000184917	0.000890538	0.00173937	0.00128926	0.000880173	0.00227617	0.0129255	0.0640202	0.0727505	0.607051	0.234664
i	0.000521007	4.69344e-05	0.000565049	0.000797195	0.000823191	0.000415407	0.000343837	0.00284761	0.0216922	0.0518192	0.799511	0.120617
