 	il	mérite	d'	être	battu	</S>
w	0.612387	0.289338	0.0590508	0.0357941	0.00309517	0.000334427
a	0.788293	0.0361896	0.0311563	0.0999909	0.0433788	0.000991518
l	0.19103	0.462545	0.229269	0.051736	0.0250783	0.040342
á	0.118651	0.0384579	0.133442	0.0570285	0.114909	0.537513
a	0.27306	0.0665228	0.211781	0.130412	0.173379	0.144845
k	0.0538072	0.390193	0.177412	0.0468877	0.184055	0.147645
o	0.0187625	0.440001	0.110126	0.0609636	0.145592	0.224554
á	0.0172898	0.319124	0.322148	0.0947679	0.125108	0.121563
l	0.024749	0.00454821	0.160337	0.389625	0.279179	0.141562
a	0.0156987	0.0029294	0.105339	0.0617236	0.294183	0.520126
l	0.0160963	0.00122591	0.085447	0.112463	0.41208	0.372688
ó	0.00847069	0.00283078	0.0496173	0.0311525	0.530818	0.377111
b	0.00810475	0.00307395	0.0794324	0.027907	0.280314	0.601168
h	0.00751292	0.0120376	0.0560198	0.200011	0.646611	0.077808
á	0.00202028	0.00970048	0.127539	0.218775	0.386074	0.255891
</S>	0.0122545	0.00404431	0.111322	0.140444	0.178806	0.553128
