 	il	a	acheté	ce	noyau	de	palmier	au	marché	</S>
w	0.787817	0.106931	0.00337318	0.0202948	0.0258785	0.0440328	0.0020048	0.00816366	0.00106274	0.000442096
a	0.700034	0.167114	0.00603549	0.0635892	0.0203495	0.02528	0.00488085	0.00929462	0.00336478	5.70622e-05
á	0.123373	0.633713	0.11627	0.0799625	0.0111227	0.0151734	0.00454143	0.0123129	0.00209736	0.0014348
s	0.0123375	0.121054	0.831992	0.0131529	0.00523208	0.00155769	0.00321872	0.00399182	0.00157794	0.00588543
ó	0.000775699	0.0187108	0.973437	0.00255671	0.00197683	0.000187703	8.14079e-05	0.000236966	0.000439579	0.00159744
m	0.00806045	0.0481548	0.54216	0.218253	0.12569	0.0124121	0.00190508	0.00475477	0.018169	0.0204403
b	0.00546603	0.0348172	0.274468	0.194438	0.43795	0.0268891	0.00359275	0.00299879	0.0102918	0.00908767
i	0.0772104	0.061164	0.118408	0.271418	0.282485	0.0748755	0.0128293	0.0185086	0.0139631	0.0691382
o	0.0289698	0.0501413	0.0010263	0.42317	0.191148	0.213295	0.0515312	0.033937	0.00195042	0.00483183
t	0.00135123	0.00660703	0.00866798	0.0769914	0.685348	0.104422	0.0679979	0.0292095	0.0167945	0.00261001
o	0.000709885	0.00256151	0.00320697	0.02238	0.848123	0.0635786	0.0156514	0.0112245	0.0208283	0.0117358
a	0.000351074	0.00290035	0.0144359	0.0323747	0.677762	0.199322	0.0160062	0.016064	0.00959821	0.0311849
m	0.00420944	0.011573	0.000621958	0.149626	0.04844	0.407607	0.161147	0.183194	0.00913646	0.0244451
ú	0.00578903	0.00906598	0.000727879	0.10252	0.0684965	0.292676	0.199074	0.0901441	0.0791306	0.152375
ó	0.000684399	0.00142238	0.000981502	0.0912444	0.0557343	0.294375	0.0885006	0.322715	0.0953955	0.0489466
d	0.00159904	0.00694651	0.00258675	0.0333118	0.0183853	0.0641555	0.125904	0.352276	0.370176	0.0246586
z	0.00239726	0.0156532	0.0102943	0.0475179	0.0108854	0.0363219	0.0310982	0.153595	0.615751	0.0764867
á	0.000731989	0.00314036	0.00194927	0.0250713	0.0202807	0.0269281	0.0144079	0.0760842	0.817412	0.0139947
n	0.000673173	0.00162111	0.000269711	0.0146547	0.00614119	0.0357672	0.0293675	0.126075	0.332582	0.452848
d	0.000394969	0.00103743	0.00174212	0.00561676	0.0104219	0.0172753	0.0243574	0.0416837	0.496696	0.400775
e	0.00157935	0.00252912	0.00119635	0.0101556	0.0106336	0.032798	0.0294941	0.0679315	0.41525	0.428432
</S>	8.81327e-05	0.000134716	0.00048878	0.00862798	0.0165866	0.0537606	0.0193866	0.100033	0.214249	0.586644
