 	le	voleur	a	vidé	sa	maison	</S>
m	0.417902	0.495718	0.0710877	0.00928335	0.00507583	0.000663857	0.000269086
ú	0.293786	0.61232	0.0573714	0.0032232	0.00658452	0.00269792	0.0240175
b	0.240243	0.735118	0.00672934	0.0100775	0.00146508	0.000400876	0.00596648
h	0.135195	0.648739	0.0317622	0.111217	0.0245948	0.0029182	0.0455741
u	0.785235	0.0679599	0.026024	0.0878447	0.0245165	0.00446198	0.00395786
ó	0.405344	0.0139747	0.511498	0.0346883	0.0186222	0.000310227	0.0155623
w	0.041576	0.00288756	0.134657	0.697643	0.0811944	0.0116926	0.0303492
ώ	0.00712127	0.00558917	0.0559718	0.495079	0.287245	0.018852	0.130142
m	0.0864655	0.0284555	0.173914	0.229929	0.237726	0.0558274	0.187682
b	0.129476	0.0572388	0.0741691	0.0892377	0.269203	0.21283	0.167845
i	0.234932	0.0327405	0.0721245	0.142494	0.361246	0.0831724	0.0732907
w	0.0420154	0.0224103	0.284105	0.0460868	0.362934	0.19953	0.0429184
a	0.031183	0.0562086	0.155955	0.186949	0.313749	0.188489	0.0674675
n	0.00741975	0.00376143	0.109619	0.0361318	0.302218	0.358271	0.182579
d	0.00853568	0.000459215	0.00292161	0.0135805	0.25196	0.523976	0.198567
é	0.000966348	8.13388e-05	0.000564663	0.00114866	0.0330518	0.904981	0.0592062
e	0.00425407	0.000765754	0.0309239	0.0704698	0.295088	0.203776	0.394723
</S>	0.00924951	0.000953646	0.020814	0.0139933	0.12154	0.0709332	0.762516
