 	le	pêcheur	est	en	train	de	vendre	du	poisson	</S>
o	0.74628	0.158865	0.0477775	0.0133528	0.0158458	0.0140157	0.0011674	0.00243201	0.000216501	4.73293e-05
l	0.0360103	0.931464	0.0218652	0.00157863	0.00659908	0.000611264	0.00120696	0.000250545	0.000201774	0.000212248
ώ	0.0125767	0.98419	0.000791941	4.12762e-05	0.00060701	7.40803e-05	0.000952539	2.20161e-05	0.000226538	0.000517975
b	0.03639	0.91448	0.0251231	0.00191338	0.00474161	0.00189798	0.00636288	0.00106281	0.00231939	0.00570887
h	0.164751	0.280043	0.0923208	0.0377429	0.0370727	0.0472088	0.0336056	0.0319064	0.00544993	0.269898
i	0.357821	0.223432	0.0933211	0.0781117	0.028469	0.067834	0.0699276	0.00887324	0.000980165	0.0712305
b	0.048991	0.00303222	0.325423	0.455249	0.0780969	0.0708505	0.00217959	0.00768296	0.00128316	0.00721223
ó	0.290829	0.00857579	0.0430676	0.162696	0.260671	0.126164	0.0336832	0.0416406	0.00505753	0.0276146
l	0.171986	0.00659104	0.157046	0.264569	0.213895	0.14911	0.0139511	0.014367	0.00211414	0.0063706
á	0.0276579	0.00173881	0.0374444	0.0710621	0.00398682	0.381354	0.246869	0.0224933	0.00496936	0.202425
a	0.129981	0.00892833	0.0723873	0.122019	0.0120495	0.404804	0.183718	0.0208647	0.00657181	0.0386762
k	0.0362225	0.0154893	0.0121088	0.0121322	0.00289853	0.180842	0.697291	0.0168226	0.0116113	0.0145818
i	0.000205054	0.0030449	0.000983055	0.001727	0.000230581	0.0172021	0.95494	0.0075138	0.000881796	0.0132713
r	0.00237069	0.00579088	0.00213195	0.00722589	0.00068427	0.063197	0.882933	0.0155377	0.00174835	0.0183799
á	0.0229062	0.0151678	0.00636349	0.0207541	0.000539014	0.287427	0.318723	0.0593786	0.0191489	0.249592
a	0.00320464	0.000788123	0.00533683	0.0238261	0.00186606	0.146639	0.0663654	0.548848	0.153864	0.0492616
s	0.018493	0.00590736	0.00590662	0.00461504	0.000795646	0.0320241	0.129797	0.361906	0.374086	0.0664692
w	0.00303896	0.000536941	0.000230142	0.000244924	0.000106376	0.00167172	0.00887624	0.0529698	0.904354	0.027971
é	0.0014629	0.000221797	0.000414731	0.000916278	0.000140917	0.0120573	0.0193794	0.0831616	0.813772	0.0684729
</S>	0.000666814	0.000300688	0.0007899	0.00209674	0.000269991	0.00992499	0.0267708	0.200591	0.283502	0.475086
