 	où	est	ton	chat	montre-le	moi	</S>
n	0.523226	0.243696	0.114274	0.0830518	0.0198559	0.00911092	0.00678595
ω	0.52284	0.0655263	0.130839	0.0173338	0.0204355	0.233109	0.00991676
o	0.167282	0.28724	0.251359	0.175537	0.0728784	0.0254053	0.0202979
m	0.0272271	0.168959	0.0964675	0.342588	0.0913877	0.0394448	0.233926
b	0.0057614	0.073658	0.0434728	0.754036	0.064482	0.00082401	0.0577655
v	0.00043465	0.00134689	0.00699637	0.974625	0.00920942	0.00202624	0.00536098
w	0.000122183	0.000366277	0.00113836	0.995333	0.000544365	0.000286352	0.00220902
έ	0.00107598	0.00242392	0.00322835	0.987263	0.0017699	0.000325761	0.00391313
l	0.0161053	0.0160721	0.0251575	0.80111	0.0402836	0.0049183	0.0963537
ε	0.0477913	0.0784893	0.123495	0.11147	0.113889	0.0667529	0.458112
ó	0.0212686	0.0567578	0.0485108	0.0214645	0.772555	0.0237424	0.0557007
d	0.0300143	0.0898858	0.0737654	0.0281601	0.543059	0.113019	0.122097
é	0.00230831	0.00449285	0.00202331	0.00223703	0.214286	0.048482	0.72617
e	0.00835805	0.0226994	0.0161162	0.00331917	0.666095	0.09996	0.183452
m	0.00209059	0.00769147	0.0147786	0.00627501	0.38971	0.184357	0.395097
ó	0.00148595	0.0048988	0.0169522	0.00632086	0.535657	0.0827136	0.351971
y	0.00794282	0.0246391	0.108429	0.0308142	0.457413	0.0968795	0.273882
έ	0.00100769	0.00393857	0.0387873	0.00161438	0.575925	0.152538	0.226189
s	0.00394901	0.00348006	0.0320864	0.00210808	0.349915	0.129355	0.479106
έ	0.000661847	0.00205598	0.011089	0.00124035	0.441201	0.243173	0.300578
n	0.000846592	0.000834188	0.0052566	0.000265078	0.117112	0.218983	0.656702
g	0.000521637	0.000367601	0.00978947	0.000104209	0.0146977	0.904302	0.0702172
á	3.58513e-05	6.62559e-05	0.00257532	0.000237175	0.00597173	0.917746	0.0733678
m	0.00143066	0.00171974	0.00721767	0.00277555	0.22832	0.43087	0.327666
ú	0.00364687	0.0185233	0.0447994	0.0351723	0.530302	0.0583509	0.309206
a	0.00429774	0.00964672	0.0212477	0.00710842	0.245145	0.136474	0.57608
</S>	0.00945709	0.0240002	0.0384027	0.00577631	0.0892296	0.0560561	0.777078
