 	ce	bois	brûle	lentement	</S>
k	0.505233	0.46908	0.0230257	0.00143881	0.00122235
ó	0.0465493	0.93609	0.00968397	0.00580284	0.00187347
n	0.0150484	0.706679	0.192892	0.0401042	0.0452759
y	0.231128	0.657497	0.0390397	0.0161143	0.0562211
i	0.195234	0.693679	0.0623142	0.00783198	0.0409404
y	0.641863	0.187351	0.145938	0.00677545	0.0180731
é	0.562175	0.141763	0.204735	0.0300424	0.0612836
y	0.829171	0.0228403	0.102686	0.0168531	0.0284499
é	0.507824	0.0646882	0.266184	0.0749211	0.0863826
e	0.675483	0.0228814	0.178472	0.0554393	0.0677252
l	0.0293658	0.0277616	0.105769	0.68081	0.156294
o	0.0125722	0.0161555	0.115705	0.692466	0.163101
á	0.0150569	0.0207625	0.169879	0.5624	0.231901
o	0.0579134	0.00655465	0.0588798	0.368892	0.50776
t	0.00730165	0.00682406	0.0180599	0.73703	0.230785
ó	0.000773287	0.00524955	0.0225087	0.800912	0.170556
o	0.000589478	0.0020642	0.04471	0.766321	0.186315
t	0.0210888	0.006989	0.0161865	0.24154	0.714196
í	0.0266622	0.0203341	0.0262501	0.407416	0.519338
</S>	0.00458266	0.000860447	0.0102192	0.119714	0.864623
