 	le	chasseur	suit	la	piste	du	porc-épic	</S>
o	0.982793	0.016436	8.58711e-05	0.000218966	6.84137e-05	0.000347097	4.40521e-05	6.15478e-06
b	0.447026	0.52354	0.0158039	0.00574846	0.00519068	0.00107192	0.00105572	0.000563027
e	0.259584	0.728616	0.00188822	0.00317682	0.0030668	0.000554811	0.00303628	7.66305e-05
n	0.142424	0.792972	0.00999733	0.00750281	0.00527674	0.00390562	0.00506524	0.0328559
g	0.704835	0.196153	0.0118436	0.0150252	0.00662426	0.00537236	0.00479444	0.0553519
i	0.513738	0.446597	0.012637	0.0117254	0.00431746	0.00321677	0.00142875	0.00634024
l	0.155221	0.0262851	0.558113	0.133504	0.00637864	0.0579696	0.00174342	0.0607848
á	0.0171063	0.00129687	0.344791	0.0877622	0.00918829	0.0491882	0.00784049	0.482826
a	0.168817	0.0038948	0.443094	0.244149	0.0269623	0.0562061	0.0103558	0.0465203
l	0.00184832	0.000145708	0.89068	0.0880566	0.0168342	0.000581336	8.87577e-05	0.00176511
ω	0.000376686	0.000920934	0.897877	0.0806971	0.0119375	0.0012537	0.00022886	0.00670767
n	0.00042997	0.000119628	0.843876	0.117521	0.0271447	0.00196794	0.000249885	0.00869065
d	0.000697421	7.40168e-05	0.562011	0.332336	0.0796657	0.014211	0.000449424	0.0105553
ώ	0.00448691	0.000493306	0.536329	0.374917	0.025813	0.0186108	0.00105145	0.0382986
ώ	0.00116172	3.79962e-05	0.0459357	0.230905	0.226065	0.418588	0.0415189	0.0357874
m	0.00234279	0.000181245	0.0110811	0.0454257	0.187647	0.528335	0.218342	0.00664537
w	0.000997846	9.05503e-05	0.00239846	0.00995657	0.0027682	0.151533	0.68407	0.148185
a	3.53403e-05	3.13843e-05	6.01325e-05	0.000589897	0.000140934	0.00483937	0.991869	0.0024342
n	0.000388066	0.000122364	0.0186458	0.076307	0.0904356	0.261507	0.154544	0.39805
d	0.000350181	0.0007145	0.0119027	0.0162693	0.0037185	0.154823	0.354742	0.45748
a	0.000175033	0.000161128	0.0119039	0.0410186	0.0145362	0.14848	0.279823	0.503901
m	0.000202405	5.63133e-05	0.00843802	0.0161641	0.0233795	0.270387	0.103927	0.577445
á	0.000792601	0.000124499	0.00306935	0.0115493	0.00613871	0.496874	0.277224	0.204228
n	0.000372341	5.81894e-05	0.000962853	0.0023937	0.00474592	0.125118	0.755914	0.110435
g	5.86792e-05	0.000270699	0.00178293	0.00189467	0.000201881	0.0277855	0.832248	0.135758
o	0.000233235	0.00127737	0.00190567	0.00110691	0.000353406	0.028722	0.821457	0.144945
m	2.21313e-05	6.56565e-05	0.00071742	0.00102184	0.00130626	0.0152575	0.727062	0.254547
b	0.00174967	0.000165916	0.000559218	0.00200802	0.000922159	0.0563365	0.688661	0.249598
á	0.00112471	0.00112495	0.000406774	0.0117567	0.00225146	0.0277805	0.606299	0.349256
</S>	0.00113203	6.62277e-05	0.00260485	0.00976937	0.0017065	0.150588	0.178749	0.655384
