 	le	voleur	est	resté	seul	dans	la	prison	</S>
m	0.644337	0.301867	0.0134232	0.0145227	0.0154417	0.00387622	0.0029998	0.00330485	0.000227925
ú	0.0463145	0.950341	0.000583289	0.00032956	0.00165379	0.000308365	0.000254996	5.52863e-05	0.000159254
b	0.158253	0.83466	0.00197217	0.000475702	0.00317362	0.000923541	0.000320743	3.99225e-05	0.000181436
h	0.769849	0.107896	0.0621717	0.00662549	0.0276875	0.00590429	0.0029703	0.00187392	0.0150212
u	0.810764	0.0232167	0.0764223	0.0251128	0.0195602	0.00743748	0.0065679	0.00623535	0.0246838
ó	0.557652	0.00567568	0.369445	0.0316328	0.00676793	0.00752129	0.013365	0.00175655	0.0061834
b	0.0497759	0.00330506	0.699821	0.166397	0.0276251	0.0257288	0.014566	0.00207982	0.0107007
v	0.00409368	0.000679329	0.0994589	0.801039	0.0295147	0.0472647	0.0123545	0.00059764	0.00499797
u	0.0276312	0.01026	0.0907257	0.76729	0.0484494	0.0355969	0.0171134	0.000862465	0.00207047
u	0.0322537	0.00762485	0.303613	0.0982031	0.24151	0.1726	0.075267	0.00700622	0.0619223
m	0.0101028	0.00963404	0.134245	0.15812	0.417559	0.179183	0.0397127	0.00862324	0.0428197
ú	0.0112979	0.148339	0.00804302	0.0220153	0.593596	0.151178	0.0383273	0.00116095	0.0260429
a	0.00727693	0.0289243	0.026817	0.0368538	0.511858	0.323132	0.0509322	0.000678724	0.0135272
m	0.0033112	0.000202393	0.0256696	0.174112	0.206689	0.312201	0.188258	0.0516382	0.0379186
έ	0.00994151	0.00668355	0.00900872	0.00788134	0.205875	0.279741	0.103895	0.0042633	0.37271
n	0.00292967	0.00046473	0.0132741	0.0464126	0.117766	0.373969	0.252944	0.0952194	0.0970194
έ	0.00307497	0.00129264	0.00445005	0.0143563	0.106576	0.186485	0.456752	0.1434	0.0836126
s	0.000275993	9.73493e-05	0.00998005	0.00733324	0.0368867	0.171584	0.367446	0.291395	0.115003
ó	0.0044598	0.000650443	0.0160054	0.00271838	0.147391	0.306785	0.175009	0.0286992	0.318282
n	0.008581	0.000165742	0.0024504	0.00271328	0.0125695	0.0173902	0.0503779	0.841036	0.0647163
y	0.00962741	0.000525462	0.00210576	0.0061844	0.0274553	0.032731	0.143658	0.71009	0.067623
ω	0.0205421	0.00107433	0.00507674	0.00332418	0.0264228	0.0305824	0.131328	0.64136	0.140289
l	0.00027229	0.00174867	0.0010198	0.0108441	0.00590248	0.0119596	0.0310581	0.921331	0.0158635
i	0.00039942	0.00127756	0.00616822	0.00403932	0.0299154	0.102281	0.172369	0.368311	0.315239
</S>	0.00240836	0.00024104	0.00482524	0.00144914	0.0391606	0.0834744	0.208255	0.0325054	0.627681
