 	cette	femme	couvre	le	foufou	qui	est	sur	le	séchoir	</S>
o	0.740418	0.102941	0.0257012	0.05273	0.0239276	0.0163613	0.00939866	0.0181705	0.00980877	0.000279717	0.000263185
y	0.0344946	0.95287	0.0031105	0.00188175	0.000948381	0.000942067	0.00101794	0.00137218	0.000982315	0.00166781	0.000712658
ú	0.932606	0.046054	0.00327083	0.00249035	0.00316369	0.0011915	0.00166893	0.00215097	0.00170215	0.00466541	0.00103635
r	0.930762	0.010646	0.00132983	0.0029324	0.00460051	0.00249029	0.00328372	0.0105209	0.00882229	0.00944777	0.0151643
u	0.744275	0.0467377	0.0112432	0.0454955	0.00807104	0.0106263	0.020007	0.0510676	0.0218561	0.0234309	0.0171896
w	0.453789	0.182468	0.0520833	0.0437428	0.0202902	0.0309127	0.0369262	0.0314031	0.0485676	0.0190167	0.0807998
ó	0.211847	0.0130836	0.128602	0.0790603	0.00741598	0.0223815	0.0593711	0.120287	0.102073	0.0125971	0.243281
l	0.23167	0.00917687	0.246668	0.181581	0.0190556	0.0462379	0.0466101	0.045834	0.0919833	0.00670494	0.0744774
á	0.0452068	0.00148555	0.0849719	0.0666987	0.0115811	0.0263902	0.0529143	0.12557	0.0738182	0.014237	0.497126
a	0.250332	0.00622905	0.307439	0.250237	0.0252619	0.0243986	0.0265856	0.0322695	0.0308433	0.0016901	0.0447139
d	0.0742278	0.0252705	0.589061	0.115782	0.0900306	0.0139763	0.0271051	0.0143932	0.0045096	0.0195965	0.0260479
i	0.00428175	0.00142539	0.652183	0.10227	0.0634051	0.0198699	0.0476079	0.0315887	0.00672575	0.00813005	0.0625121
b	0.0198695	0.000238643	0.429518	0.179801	0.211987	0.0553002	0.0383487	0.0201079	0.00695704	0.00395207	0.0339207
h	0.0177304	4.26463e-05	0.410761	0.14465	0.186398	0.0565781	0.0841688	0.0560506	0.0197412	0.00240516	0.0214736
á	0.0015052	1.78437e-05	0.251972	0.146342	0.413357	0.0639299	0.0239295	0.0334342	0.0158022	0.00159336	0.0481167
f	0.0110054	3.50635e-05	0.108819	0.344442	0.331398	0.128321	0.0265635	0.0177062	0.0226839	0.00199221	0.00703397
u	0.00274402	4.51807e-05	0.0915169	0.15586	0.565017	0.114867	0.0282385	0.011997	0.00327112	0.0081947	0.0182488
f	0.000473911	1.16359e-05	0.025772	0.094902	0.59055	0.223169	0.037128	0.00665243	0.0025575	0.00127176	0.017512
ú	0.0371108	2.04821e-05	0.0398685	0.213667	0.332605	0.198602	0.0441904	0.0362837	0.025973	0.00603716	0.0656415
y	0.0025611	7.04605e-06	0.0131724	0.0772578	0.0746561	0.362442	0.218506	0.0837675	0.15524	0.0020483	0.0103419
e	0.0870075	0.000134143	0.0273602	0.143266	0.067197	0.289043	0.107495	0.0656966	0.120163	0.0414662	0.0511699
é	0.00862365	4.83566e-05	0.0041596	0.0216679	0.013764	0.18239	0.184423	0.12365	0.342397	0.0902639	0.0286128
d	0.000621935	0.000194302	0.0129458	0.00851825	0.0463031	0.0861049	0.262404	0.211413	0.146575	0.17915	0.045771
i	0.000859323	0.000243548	0.00636147	0.00405153	0.0225075	0.0362948	0.160229	0.15919	0.0856465	0.102484	0.422133
m	0.000916709	1.33019e-05	0.00475619	0.0145563	0.0456405	0.143784	0.283354	0.203368	0.175502	0.0218391	0.10627
í	0.000982553	0.000263444	0.00706248	0.0160624	0.0135344	0.107213	0.250705	0.23353	0.130719	0.00849897	0.231429
t	0.000508287	9.08339e-06	0.00511683	0.00958873	0.0133344	0.0586677	0.113191	0.244275	0.212508	0.0588484	0.283953
á	0.000593285	6.21725e-06	0.00843071	0.00800629	0.0400817	0.0396898	0.060768	0.076908	0.089378	0.55407	0.122067
á	0.000327017	6.59261e-06	0.00188419	0.00120897	0.0124757	0.00910824	0.0230874	0.0295401	0.0407286	0.726298	0.155335
g	0.00262027	7.61219e-05	0.00793485	0.0133047	0.0110267	0.0246903	0.0599788	0.188375	0.287122	0.162329	0.242542
h	0.000857835	2.96893e-05	0.0137634	0.00932598	0.0464831	0.0234054	0.0304819	0.171245	0.191892	0.275826	0.236689
á	0.000675025	2.6809e-06	0.00470679	0.00375637	0.0162544	0.00931279	0.0257703	0.188168	0.0732968	0.343224	0.334833
</S>	0.00215194	7.48013e-06	0.00185203	0.00299432	0.00749929	0.0110039	0.0257328	0.0638807	0.0788115	0.143336	0.66273
