 	sa	bêtise	dépasse	tout	</S>
o	0.992524	0.00136202	0.00556743	0.000422684	0.000124256
d	0.197791	0.789456	0.00527764	0.00462313	0.00285256
í	0.0144841	0.98008	0.00119388	0.000365616	0.00387633
b	0.0330729	0.907935	0.00843932	0.00312218	0.0474308
h	0.221828	0.538274	0.0307474	0.0185533	0.190597
i	0.272844	0.287959	0.109296	0.0233371	0.306563
l	0.520791	0.202943	0.197776	0.0166827	0.0618067
i	0.204846	0.350839	0.131399	0.063526	0.249389
m	0.343856	0.11328	0.256576	0.118827	0.167462
á	0.0730316	0.0463772	0.582786	0.0532474	0.244558
w	0.153263	0.0184853	0.367073	0.340005	0.121173
a	0.087243	0.0115147	0.227982	0.517044	0.156216
o	0.0150209	0.0145256	0.264626	0.433434	0.272394
p	0.0105306	0.0743863	0.113962	0.611303	0.189818
é	0.00371784	0.0670854	0.116438	0.568484	0.244274
n	0.00395779	0.0409885	0.0846629	0.487901	0.38249
d	0.00734895	0.0129452	0.120627	0.65055	0.208529
í	0.00560427	0.0247123	0.0894874	0.503091	0.377105
ε	0.0147359	0.00141417	0.0679386	0.298374	0.617537
t	0.0434947	0.0125401	0.0363672	0.708816	0.198782
s	0.00556063	0.010404	0.0346137	0.704726	0.244696
ω	0.000857972	0.00372326	0.0473412	0.844184	0.103894
</S>	0.0013291	0.00368029	0.0800993	0.330301	0.58459
