 	qui	t'	a	dit	tout	cela	</S>
o	0.826974	0.154229	0.0129836	0.000996591	0.00253028	0.00162033	0.000666487
l	0.0457165	0.0803819	0.167705	0.59316	0.039762	0.0170284	0.0562466
a	0.0435253	0.00197676	0.0850518	0.615191	0.0632459	0.0213701	0.169639
i	0.030668	0.00370842	0.207916	0.450307	0.0406911	0.0139214	0.252788
n	0.103013	0.388494	0.278469	0.112925	0.0503618	0.0325652	0.0341714
ω	0.129186	0.451747	0.0620658	0.103864	0.0580987	0.163294	0.0317453
p	0.0535906	0.0311824	0.161742	0.127258	0.43499	0.133801	0.0574362
ώ	0.0834908	0.135577	0.0789748	0.0118117	0.233885	0.2845	0.17176
ω	0.00191778	0.0144819	0.00462956	0.00996941	0.138882	0.609582	0.220537
y	0.00470706	0.00238807	0.0136045	0.0176195	0.222774	0.528941	0.209965
í	0.00843232	0.00304861	0.0643432	0.272396	0.164064	0.230652	0.257064
i	0.032513	0.0722447	0.0254977	0.0658955	0.0953964	0.347672	0.36078
n	0.00336979	0.00242283	0.01042	0.0394556	0.110329	0.271811	0.562192
d	0.00419192	0.00944107	0.00959942	0.0553798	0.0413832	0.424845	0.45516
a	0.00208967	0.00332588	0.00478661	0.0453455	0.049003	0.229392	0.666057
</S>	0.000262587	0.000128289	0.00553444	0.0187677	0.0941213	0.161721	0.719465
