 	elle	a	mis	des	poissons	sur	les	braises	</S>
w	0.921981	0.0341994	0.00657178	0.0058363	0.0027179	0.00813339	0.0136255	0.00655778	0.000376898
a	0.82782	0.0798751	0.012096	0.0239914	0.0278913	0.0110464	0.0142368	0.00302072	2.19854e-05
á	0.19441	0.611577	0.0725801	0.0294897	0.0177754	0.0306158	0.0247789	0.00379018	0.0149833
k	0.0632608	0.560989	0.218837	0.0371403	0.0389155	0.0240936	0.029016	0.0134269	0.0143209
a	0.00891353	0.0650663	0.847803	0.0363508	0.00833391	0.0109935	0.00571467	0.00211091	0.0147129
n	0.00183065	0.0352876	0.932527	0.016826	0.00186085	0.0047129	0.00177137	0.00164789	0.00353539
i	0.0257836	0.153463	0.639562	0.087274	0.0356506	0.0163697	0.0113375	0.00206097	0.0284985
a	0.083524	0.14134	0.0817413	0.480634	0.157596	0.031525	0.014259	0.0026915	0.00668959
s	0.00620228	0.0323474	0.178727	0.401243	0.243659	0.0845018	0.0232783	0.0214535	0.00858718
w	0.000457456	0.0043508	0.0222267	0.218501	0.651541	0.0659072	0.0115186	0.00539992	0.0200968
é	0.00172688	0.00800308	0.0209272	0.357539	0.446331	0.0967235	0.0147716	0.00850419	0.0454735
s	0.0215703	0.0927812	0.0839918	0.331063	0.145558	0.197391	0.0546095	0.0140151	0.0590203
a	0.00871185	0.0411218	0.054989	0.300502	0.24253	0.210958	0.028884	0.00618423	0.106119
a	0.0118124	0.0225294	0.0200241	0.180773	0.167265	0.373104	0.165397	0.0298257	0.0292688
m	0.00326369	0.0157029	0.0214717	0.0514784	0.0667731	0.466365	0.25343	0.0952339	0.0262816
í	0.0022349	0.00654023	0.00143705	0.0301976	0.118958	0.274247	0.26561	0.159344	0.141431
s	0.0017405	0.00452912	0.00390049	0.0237752	0.0130468	0.196752	0.221004	0.494851	0.0404012
i	6.37032e-05	0.000851396	0.000530734	0.00763424	0.196684	0.199709	0.165942	0.311129	0.117456
n	6.5191e-05	0.000382124	0.000379769	0.00767615	0.0326127	0.194422	0.265167	0.355072	0.144223
y	0.000163701	0.00180334	0.00231806	0.0125231	0.014953	0.257401	0.290278	0.243111	0.177448
i	0.00019591	0.00132885	0.00176864	0.0105153	0.0114411	0.17194	0.121049	0.122895	0.558866
i	0.000856087	0.00358762	0.00440301	0.0124442	0.00611763	0.127827	0.174309	0.2722	0.398256
</S>	0.00123501	0.0016739	0.00417906	0.00596613	0.00154358	0.0504033	0.105309	0.125614	0.704077
