 	le	hibou	bouboule	</S>
e	0.835941	0.163537	0.000271933	0.000249994
s	0.198376	0.795443	0.00416455	0.00201652
u	0.0341199	0.964868	0.000107287	0.00090478
l	0.0971429	0.880459	0.00016899	0.0222293
ú	0.363427	0.550012	0.000842447	0.0857191
u	0.46277	0.330185	0.0433198	0.163726
b	0.209265	0.193389	0.483009	0.114337
ó	0.137939	0.0911361	0.680953	0.0899721
y	0.0997974	0.115838	0.589746	0.194619
é	0.202497	0.142359	0.548462	0.106681
e	0.0829465	0.065565	0.253427	0.598062
l	0.0226427	0.018759	0.527349	0.431249
e	0.0302141	0.048935	0.176054	0.744797
a	0.0289957	0.0462039	0.21694	0.70786
</S>	0.026498	0.013952	0.0676656	0.891884
