 	la	mère	dorlote	l'	enfant	</S>
n	0.946036	0.0385683	0.0107321	0.0039047	0.000740829	1.78941e-05
g	0.132744	0.866315	0.000696675	0.000183394	3.92237e-05	2.11359e-05
ó	0.0179924	0.981159	0.000479511	3.34054e-05	0.000329593	5.60406e-06
o	0.0565	0.837573	0.060634	0.00182746	0.0431286	0.000337097
l	0.115626	0.0209172	0.532539	0.132309	0.0311225	0.167487
á	0.328911	0.0822718	0.0476422	0.0332831	0.00986048	0.498031
a	0.536128	0.0423431	0.057164	0.260068	0.0941277	0.0101688
b	0.0947523	0.0285165	0.711232	0.0347604	0.0269062	0.103833
ώ	0.00729188	0.00205903	0.945924	0.01063	0.00898911	0.0251056
n	0.00363977	0.000283716	0.87693	0.0233638	0.0107022	0.085081
d	0.0138527	0.000184209	0.33497	0.0678273	0.00291918	0.580247
ώ	0.0867769	0.00608477	0.573727	0.0492032	0.0201289	0.264079
ώ	0.0100283	2.38056e-05	0.0474038	0.878555	0.0374431	0.0265463
m	0.0165778	0.00106	0.049966	0.376231	0.445518	0.110648
w	8.53496e-05	0.000119936	0.000862308	0.00274939	0.984393	0.0117897
á	3.43366e-06	5.7414e-07	0.000132919	0.000117464	0.99946	0.000285637
n	0.00311718	0.00119218	0.011085	0.033154	0.922858	0.028594
a	0.00205302	0.000174007	0.0095657	0.0228167	0.863059	0.102332
</S>	0.00969825	0.0018207	0.0495685	0.273885	0.0842081	0.580819
