 	ma	femme	est	enceinte	</S>
n	0.812561	0.171939	0.0115869	0.00159408	0.00231886
g	0.974469	0.025299	8.25824e-05	0.000122548	2.74429e-05
á	0.540197	0.454134	0.0036591	0.00162763	0.000381662
m	0.185849	0.665515	0.0726769	0.0255485	0.0504101
w	0.012259	0.945134	0.0295322	0.00250161	0.0105737
á	0.483708	0.485559	0.0270315	0.00128675	0.00241507
s	0.959346	0.00783915	0.0288024	0.00033709	0.00367544
í	0.689782	0.173106	0.0145399	0.0814418	0.0411304
á	0.149552	0.0435572	0.633057	0.107254	0.0665802
m	0.0223409	0.00819551	0.813798	0.126646	0.0290196
i	0.00559492	0.00650061	0.599045	0.232509	0.156351
k	0.00697139	0.00949881	0.689981	0.239145	0.0544042
ó	0.000574588	0.000704726	0.877	0.0458761	0.0758443
a	0.00153534	0.00081784	0.760349	0.105433	0.131865
d	0.00185261	0.000434096	0.14149	0.504099	0.352124
z	0.00151129	2.11376e-05	0.00160547	0.813645	0.183217
é	0.000785945	0.000665119	0.00166251	0.947313	0.0495739
m	0.00122154	0.000853029	0.0309956	0.470352	0.496578
i	0.0024825	0.000146287	0.0235596	0.29998	0.673832
</S>	0.0137791	0.000225495	0.0608951	0.158706	0.766395
