 	il	a	un	caractère	bougon	</S>
w	0.973135	0.0237884	0.00114056	0.00183843	4.95921e-05	4.74814e-05
a	0.984548	0.0111538	0.000444686	0.0032287	0.000582518	4.2689e-05
a	0.345775	0.469946	0.142249	0.0292629	0.00122793	0.0115396
d	0.0880072	0.585689	0.235537	0.0287593	0.00578987	0.0562176
í	0.0775687	0.552409	0.225338	0.0694524	0.00293119	0.0723011
l	0.00774645	0.0857513	0.294387	0.12561	0.0315526	0.454952
e	0.0160281	0.0978993	0.525409	0.165338	0.0420438	0.153282
y	0.00228842	0.0774705	0.384511	0.136309	0.171117	0.228304
u	0.000203199	0.00725185	0.233154	0.657606	0.0343837	0.067402
ú	0.00066755	0.00162824	0.0554468	0.892517	0.0318608	0.0178793
e	0.000548753	0.0115766	0.178377	0.0451764	0.472995	0.291326
b	0.00139541	0.0217833	0.134307	0.0268953	0.461654	0.353965
é	0.00231529	0.00675923	0.0759223	0.0112208	0.657032	0.24675
</S>	0.000346962	0.00109052	0.0146579	0.00670746	0.350679	0.626518
