 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
w	0.76076	0.0800608	0.0282583	0.0149665	0.0104047	0.022271	0.0540547	0.020046	0.00825736	0.000920233
a	0.742574	0.0689623	0.0141298	0.0147872	0.00506036	0.0438437	0.0331775	0.0726474	0.00389455	0.000922925
á	0.0976283	0.369512	0.394924	0.0987997	0.00664388	0.0147281	0.00657715	0.00683778	0.000909801	0.00343861
p	0.0203649	0.341719	0.496936	0.100525	0.0164959	0.00441627	0.0039458	0.00758575	0.00340367	0.00460713
f	0.00455362	0.119611	0.377887	0.224048	0.194159	0.020103	0.0144655	0.00864111	0.00768219	0.0288489
e	0.00571671	0.119504	0.281089	0.321827	0.210378	0.0223356	0.0204781	0.0113965	0.00482649	0.00244901
e	0.012295	0.0766178	0.0880692	0.313374	0.35798	0.0635541	0.0424356	0.0225186	0.00841184	0.0147432
d	0.00870167	0.0127155	0.0267734	0.10941	0.0872261	0.284963	0.185429	0.217893	0.0292605	0.0376288
u	7.59977e-05	0.00125112	0.00893187	0.12996	0.510042	0.192847	0.0522769	0.0230189	0.00826041	0.0733365
n	0.000143307	0.00111466	0.00715966	0.0902816	0.403837	0.387323	0.0673124	0.0170368	0.0130991	0.0126928
ú	0.000378518	0.000753546	0.00698879	0.0406197	0.08365	0.74668	0.0652061	0.0348783	0.00750002	0.0133445
i	0.00087648	0.00210456	0.0118609	0.0290152	0.0286813	0.506214	0.18834	0.150678	0.0502466	0.0319834
k	0.000750266	0.00200331	0.00317779	0.0255337	0.0376981	0.0571612	0.139624	0.108923	0.454722	0.170407
ω	3.28464e-05	0.000184127	0.000201643	0.00141802	0.00457569	0.00886443	0.113213	0.0202029	0.821357	0.0299503
n	5.01469e-06	3.7116e-05	0.000112601	0.00179088	0.00322654	0.0076344	0.245651	0.0108932	0.680899	0.0497499
í	0.000265183	0.000308139	0.000692274	0.00358118	0.00614745	0.0228609	0.185899	0.040585	0.65012	0.0895412
k	0.000569716	0.000614037	0.00112513	0.00773256	0.00768442	0.0889837	0.0807848	0.259996	0.0807954	0.471715
a	0.00303898	0.00354759	0.00418188	0.0110933	0.0142992	0.0712101	0.0935889	0.370888	0.0902828	0.33787
á	7.61082e-05	0.000323293	0.00025291	0.000966614	0.0030437	0.00533762	0.0255519	0.0235943	0.110215	0.830638
</S>	0.00585836	0.00629226	0.0103592	0.0143132	0.00860182	0.0150101	0.0121009	0.0836311	0.0158255	0.828008
