 	l'	oiseau	donne	la	becquée	à	ses	petits	</S>
n	0.797284	0.178919	0.00697107	0.00332082	0.00722669	0.00289205	0.00307652	0.00026528	4.40508e-05
y	0.338358	0.659978	0.000311477	0.000291615	0.000227656	0.000189735	0.000335893	0.000297942	9.77044e-06
ω	0.0673001	0.883661	0.00751957	0.0163196	0.00730382	0.00279153	0.00234545	0.0121544	0.000604167
s	0.0154215	0.97536	0.00079414	0.00192162	0.000360447	0.000353172	0.000254015	0.00149318	0.00404177
í	0.0748647	0.00993057	0.196877	0.0481565	0.010356	0.0762134	0.0176924	0.0203092	0.545601
l	0.48028	0.00136493	0.401515	0.0344953	0.00421642	0.0173181	0.00883403	0.00188206	0.0500944
á	0.290918	0.0296594	0.220685	0.0812681	0.0109352	0.0348169	0.0471904	0.0218307	0.262696
a	0.728604	0.00268351	0.109291	0.0662781	0.0273703	0.0142801	0.0142101	0.00914153	0.0281419
p	0.00432979	0.00207482	0.748423	0.223656	0.00729048	0.00490509	0.00125568	0.000466005	0.00759936
έ	0.00269509	8.0964e-05	0.550259	0.332052	0.0323955	0.0314011	0.00240701	0.00195421	0.0467546
b	0.110741	0.00225994	0.281995	0.290739	0.106291	0.0717024	0.0234129	0.0148377	0.0980213
á	0.094008	0.00282599	0.112874	0.381837	0.270113	0.0566696	0.0525398	0.0195429	0.00959014
n	0.00667404	0.000267099	0.0663353	0.131007	0.535671	0.0596736	0.0548169	0.0491998	0.0963557
a	0.0074634	0.000271606	0.00764165	0.149727	0.662699	0.0426004	0.043106	0.0607298	0.0257602
b	0.00523265	7.93556e-05	0.12292	0.239719	0.162424	0.263682	0.152966	0.02379	0.0291871
e	0.00773371	0.000154258	0.0059932	0.0325719	0.498313	0.196181	0.116084	0.0953628	0.0476063
a	0.00216561	2.18886e-05	0.0148261	0.050843	0.211266	0.307213	0.195943	0.0900304	0.127691
m	0.000648977	7.50116e-06	0.0212577	0.0512483	0.0260675	0.578844	0.197119	0.0302152	0.0945913
ó	0.00328799	0.000261829	0.00981995	0.0104747	0.0243795	0.24961	0.34684	0.0828152	0.272511
o	0.000759699	3.66337e-05	0.00555037	0.0176114	0.0228671	0.336324	0.188386	0.253803	0.174662
t	0.000271084	2.56372e-05	0.0099237	0.0340494	0.00836474	0.284962	0.230507	0.177482	0.254415
o	0.000225469	2.84968e-05	0.00896736	0.0498645	0.0222589	0.374705	0.0658467	0.0825232	0.395581
b	0.00024496	1.3155e-05	0.00797894	0.0460951	0.0280259	0.236501	0.0486354	0.0731535	0.559352
h	0.000703242	2.01558e-05	0.00209327	0.0161564	0.0124258	0.241688	0.0367274	0.0474864	0.642699
o	0.0017739	7.50936e-05	0.00261091	0.0293285	0.0210518	0.16981	0.120359	0.107192	0.5478
l	0.00099934	4.11986e-06	0.00146156	0.0056843	0.00393506	0.0980703	0.0940994	0.0674814	0.728265
a	0.00278779	5.6628e-05	0.00337972	0.0295745	0.00870865	0.0882478	0.178476	0.243776	0.444993
</S>	0.0167217	0.000146153	0.00218013	0.00907345	0.00455319	0.0406514	0.256508	0.246053	0.424113
