 	papa	est	en	train	de	couper	un	palmier	dattier	mort	</S>
d	0.857157	0.131935	0.00417562	0.000164556	0.00112044	0.000213532	0.00153455	0.00106834	0.00248266	9.57946e-05	5.25783e-05
a	0.981111	0.0181411	0.000243677	5.78075e-07	4.48339e-05	1.72387e-05	0.000130488	1.96702e-05	0.000158113	3.47135e-05	9.85821e-05
a	0.890273	0.106419	0.00111951	0.00010428	0.000104328	7.62892e-05	0.000301079	5.13743e-05	0.000380291	7.37511e-05	0.00109714
d	0.659138	0.208979	0.014171	0.00139905	0.0143321	0.00901182	0.00284787	0.00465253	0.0019898	0.000919287	0.0825601
á	0.514823	0.307661	0.0292739	0.00145562	0.00659651	0.00324365	0.00579657	0.00420342	0.00206052	0.0062347	0.118651
b	0.0599405	0.540591	0.17139	0.00109417	0.0486045	0.0264412	0.0120271	0.0107707	0.00781735	0.00621987	0.115103
ó	0.00102881	0.0849903	0.348089	0.34665	0.139357	0.0106515	0.00848662	0.0323274	0.00146776	0.0124931	0.0144589
l	0.0046092	0.0843726	0.516832	0.203959	0.155533	0.0176669	0.00648912	0.00135366	0.000955773	0.000815568	0.00741273
á	0.00437089	0.105945	0.345405	0.0093842	0.218015	0.0651925	0.030996	0.0160192	0.00359786	0.00938382	0.19169
a	0.00683904	0.166729	0.283847	0.0184937	0.195208	0.149911	0.0674592	0.0399126	0.0204209	0.00864434	0.0425351
k	0.0171159	0.0121546	0.01709	0.0034359	0.0836438	0.803127	0.03457	0.00943543	0.00723982	0.00204655	0.0101406
w	0.001118	0.00137373	0.00354972	0.000474565	0.0408163	0.858923	0.0569288	0.0182908	0.00609225	0.00193807	0.0104947
ε	0.000235911	0.00130036	0.00402023	0.000916189	0.0212308	0.880263	0.0412331	0.0133923	0.021804	0.00390914	0.0116947
r	0.000154898	0.00118567	0.0141533	0.000108648	0.0431999	0.337376	0.3376	0.0801971	0.1133	0.0197337	0.0529905
έ	0.00212071	0.0104736	0.0515007	0.000257456	0.155184	0.519107	0.18064	0.0242222	0.0217473	0.0119316	0.0228157
o	0.000412801	0.00274662	0.0136986	0.000411425	0.030828	0.149258	0.431628	0.120129	0.196571	0.0355882	0.018727
k	0.00559349	0.00106091	0.000180053	1.82993e-05	0.00131099	0.0988822	0.29821	0.192918	0.327477	0.0649681	0.00938133
u	0.000745772	0.000894585	0.000114554	0.000475249	0.000834259	0.0946985	0.150366	0.164125	0.396725	0.163715	0.0273064
m	0.000688346	0.000211362	0.000101755	0.000379423	0.000421826	0.0216855	0.0949904	0.0630323	0.784226	0.0259605	0.00830233
u	0.000278924	0.00307731	0.00120606	0.000724565	0.00681879	0.0359923	0.183994	0.238448	0.238307	0.176224	0.114928
</S>	9.99987e-05	0.00017099	0.000860647	7.95807e-06	0.00263852	0.012319	0.113954	0.160003	0.153128	0.183694	0.373124
