 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
w	0.577667	0.0468255	0.0142508	0.0157379	0.00605956	0.0784842	0.147153	0.106144	0.00638609	0.00129223
a	0.740749	0.0600761	0.00522474	0.0151136	0.00266342	0.0560585	0.0414965	0.0699176	0.00758805	0.00111252
á	0.0384202	0.450943	0.364336	0.0841764	0.0131111	0.012492	0.00834568	0.00838515	0.00316596	0.0166245
p	0.0130502	0.264234	0.600931	0.0910525	0.00833694	0.00349696	0.0031571	0.00590727	0.00236167	0.0074723
f	0.00339823	0.0593432	0.306655	0.30082	0.195577	0.0142189	0.0259109	0.00928671	0.00627181	0.0785175
e	0.0016606	0.0833178	0.271987	0.449669	0.172592	0.00765047	0.0061887	0.00256975	0.000717291	0.00364698
o	0.00574984	0.0502981	0.0767837	0.337793	0.427823	0.0404924	0.0355921	0.0108355	0.00424076	0.0103911
d	0.000453913	0.018837	0.0681561	0.232919	0.341927	0.108702	0.146962	0.0314256	0.0430533	0.00756494
u	1.33808e-05	0.00358974	0.0314395	0.19806	0.627371	0.021519	0.0112848	0.00107751	0.00146441	0.104181
n	0.000203064	0.00136425	0.00492377	0.0718155	0.626015	0.200267	0.0609527	0.00447801	0.00527916	0.024702
ú	0.00184228	0.0058104	0.0139041	0.111061	0.222262	0.464573	0.0753691	0.0213016	0.00751735	0.0763588
i	0.00202998	0.0018756	0.00428404	0.028731	0.0538581	0.387507	0.224779	0.146682	0.0881331	0.0621202
k	0.000503896	0.00214151	0.00282118	0.0302837	0.0730982	0.0627216	0.192052	0.110719	0.396126	0.129534
ω	3.06546e-05	0.000115695	8.83489e-05	0.0010089	0.00695163	0.0101274	0.320016	0.0453677	0.581971	0.0343226
n	5.7277e-06	6.81658e-05	9.96661e-05	0.00192518	0.00310073	0.00467207	0.183577	0.0240516	0.757257	0.0252428
í	0.000375611	0.000836395	0.00121332	0.00775907	0.01021	0.0265707	0.0904724	0.071886	0.70528	0.0853963
k	0.00106116	0.00171082	0.00182925	0.0063929	0.0113338	0.159053	0.0578284	0.148824	0.11327	0.498697
a	0.000462118	0.000909551	0.000717932	0.00496012	0.01095	0.056931	0.0919373	0.503469	0.105383	0.22428
á	0.000249836	0.000332946	0.000142914	0.000539996	0.00290827	0.00807834	0.0280373	0.0514441	0.130394	0.777872
</S>	0.00566647	0.00582742	0.00531599	0.00891822	0.00533128	0.0223836	0.00922725	0.215984	0.0179534	0.703392
