 	l'	eau	du	fleuve	est	basse	</S>
m	0.638894	0.335287	0.0224851	0.00149407	0.00172344	3.22621e-05	8.46971e-05
á	0.181119	0.591289	0.0383419	0.181686	0.00426789	0.00113587	0.00216051
a	0.192243	0.659058	0.0896983	0.0539963	0.00103968	0.00277409	0.00118983
m	0.0922363	0.15206	0.571714	0.125724	0.0342222	0.00294019	0.0211022
á	0.0525625	0.659184	0.0690407	0.176101	0.0338338	0.0039812	0.00529722
n	0.0666598	0.18556	0.407317	0.265859	0.0286912	0.0265014	0.0194124
d	0.0942006	0.00675932	0.150889	0.723689	0.00999882	0.00155567	0.0129073
z	0.0130942	0.00516498	0.176184	0.75451	0.00715865	0.00344258	0.0404459
á	0.205349	0.0329307	0.192042	0.518398	0.00806558	0.0116101	0.031604
l	0.0261967	0.0117852	0.143691	0.0501489	0.0174277	0.0210842	0.729666
é	0.222324	0.0506818	0.419554	0.224447	0.0126136	0.00693533	0.0634441
á	0.0177547	0.0161566	0.205799	0.223694	0.432302	0.052228	0.0520658
m	0.000900437	0.00133225	0.0250816	0.046967	0.448694	0.37696	0.100065
i	0.000788811	0.00102892	0.0208609	0.0367021	0.309844	0.54432	0.0864547
s	8.90625e-05	0.000144133	0.00159606	0.00869824	0.0650877	0.853779	0.0706056
u	5.06808e-05	1.66306e-05	0.000945874	0.00168147	0.0264587	0.939671	0.0311754
n	0.000324398	6.34382e-05	0.00212455	0.00841772	0.0916846	0.332501	0.564884
d	0.00299977	0.000654378	0.0160629	0.080395	0.213748	0.154843	0.531297
a	0.0538658	0.0134288	0.252645	0.226667	0.225462	0.0871435	0.140788
</S>	0.00626596	0.00334637	0.0270825	0.030596	0.195878	0.0314563	0.705375
