 	il	se	laisse	berner	par	tout	le	monde	</S>
w	0.775612	0.154574	0.0360707	0.00995644	0.00480659	0.00275712	0.0151202	0.000877258	0.000226103
a	0.710293	0.184724	0.0287275	0.0171541	0.0147916	0.00200716	0.0391299	0.00312823	4.45165e-05
l	0.280294	0.532003	0.0827947	0.0150687	0.0331222	0.0194376	0.0210165	0.00325382	0.0130097
á	0.117548	0.188683	0.0807629	0.148455	0.125262	0.0621133	0.0322338	0.00901592	0.235925
a	0.272033	0.194008	0.0913388	0.14532	0.0728415	0.0312028	0.0517859	0.0173374	0.124132
k	0.0480596	0.601546	0.280339	0.00976936	0.010824	0.0193323	0.00280377	0.00673539	0.0205909
u	0.0575475	0.55587	0.317676	0.0141735	0.0113868	0.0161081	0.00224292	0.00535586	0.0196388
r	0.103938	0.352213	0.453571	0.00995093	0.0138572	0.00998957	0.00555757	0.00582789	0.0450942
ú	0.060803	0.284367	0.586108	0.011355	0.0179649	0.00847644	0.0163217	0.00107338	0.0135304
m	0.0442999	0.120138	0.655881	0.126909	0.0286548	0.00671955	0.00852696	0.00189796	0.00697259
á	0.0517769	0.0697198	0.125574	0.50384	0.235362	0.00376925	0.00339984	0.000332508	0.00622547
l	0.0139779	0.0342327	0.0610884	0.715988	0.148354	0.0150979	0.00318481	0.00263998	0.005436
a	0.0101368	0.0174914	0.0898891	0.452303	0.30454	0.0299051	0.0158318	0.0077522	0.0721507
b	0.0048905	0.00910117	0.054704	0.493977	0.325186	0.0345948	0.0275516	0.0117817	0.0382129
a	0.0310055	0.0565697	0.0924989	0.622416	0.153269	0.0302972	0.00363618	0.00582944	0.00447778
r	0.00585753	0.020953	0.10501	0.567336	0.167289	0.0654816	0.0119967	0.00667225	0.0494027
e	0.0474916	0.0600998	0.193061	0.141673	0.248737	0.0539931	0.0356707	0.0111534	0.208121
á	0.00846381	0.0195719	0.0407119	0.193907	0.432601	0.180446	0.0902949	0.00781745	0.0261861
t	0.0064106	0.0353936	0.0419117	0.0257735	0.107295	0.261631	0.230591	0.19413	0.0968647
s	0.000800038	0.00627673	0.0157528	0.0101038	0.053124	0.379786	0.0937633	0.353442	0.0869511
ω	0.000981221	0.00538444	0.0305917	0.027265	0.0815876	0.395904	0.150432	0.255568	0.0522858
</S>	0.000411856	0.00289784	0.0114999	0.0333469	0.0564831	0.184643	0.223482	0.144633	0.342602
