 	ces	noix	de	palme	sont	bien	mûres	</S>
m	0.596159	0.378317	0.0238715	0.00102607	0.000184796	0.000290369	6.1691e-05	8.90488e-05
b	0.0325222	0.943795	0.0182387	0.00312485	0.000974233	0.000178763	2.38496e-05	0.00114215
í	0.0216844	0.975788	0.00225959	0.000202477	1.67165e-05	5.43094e-06	5.32112e-06	3.845e-05
a	0.0509248	0.919388	0.0223229	0.0064721	0.000202037	7.35381e-05	3.31315e-05	0.000583274
y	0.151244	0.069389	0.459821	0.25146	0.0458606	0.00344275	0.00107362	0.0177092
é	0.359415	0.0672532	0.351929	0.166298	0.0372859	0.00252007	0.000838167	0.0144604
é	0.208139	0.0565986	0.390484	0.258005	0.0570121	0.00804934	0.00316367	0.0185484
m	0.00667273	0.00576961	0.0920653	0.524426	0.251737	0.0825376	0.0238384	0.0129527
i	0.0317739	0.0453012	0.0732763	0.209863	0.480403	0.12858	0.00378567	0.0270168
s	0.00146502	0.00425547	0.0186525	0.390275	0.226243	0.212598	0.0992783	0.0472327
á	0.00115592	0.00104092	0.0217107	0.455143	0.263489	0.147194	0.0731284	0.0371384
á	0.0122467	0.00284913	0.0494889	0.242357	0.41399	0.0779042	0.0279968	0.173166
o	0.00903458	0.00779456	0.0330643	0.0792014	0.355543	0.384745	0.109606	0.0210104
y	0.000877117	0.00174575	0.00110665	0.00728419	0.0144407	0.0868098	0.87936	0.00837544
o	0.0013221	0.000257651	0.00181305	0.00941276	0.0396938	0.108285	0.819769	0.0194465
a	0.00450274	0.000296519	0.00654832	0.0115985	0.0336725	0.122266	0.507377	0.313739
</S>	0.00327072	0.000511464	0.00665839	0.0167898	0.122343	0.0899896	0.103978	0.656459
