 	c'	est	un	gros	battant	de	cloche	</S>
e	0.444837	0.267962	0.173102	0.0468524	0.0517439	0.0139527	0.00128219	0.000267956
b	0.124674	0.637299	0.152758	0.0195452	0.0109671	0.0315396	0.019375	0.00384137
e	0.066489	0.501427	0.329612	0.0342996	0.0365947	0.0181678	0.0096642	0.00374585
n	0.0663845	0.35308	0.433027	0.0232731	0.0100709	0.0089497	0.0169641	0.0882506
d	0.288201	0.176896	0.339894	0.0761275	0.0260562	0.018322	0.0273453	0.0471571
é	0.377431	0.285391	0.238392	0.043436	0.00442008	0.00508293	0.0102828	0.0355632
y	0.310366	0.134952	0.285959	0.110486	0.0922829	0.0330157	0.00243322	0.0305046
é	0.418719	0.166032	0.222516	0.084121	0.0119201	0.0361343	0.00909391	0.0514628
é	0.365741	0.103917	0.209703	0.163446	0.0228589	0.056234	0.0450661	0.0330336
t	0.0637581	0.1206	0.218212	0.268161	0.0900168	0.117906	0.0563143	0.0650319
í	0.00526844	0.0485198	0.592669	0.0482827	0.0499173	0.0357397	0.0168245	0.202778
n	0.0042211	0.0544259	0.466125	0.115428	0.168567	0.0559289	0.00760224	0.127702
á	0.0158318	0.026487	0.220918	0.300356	0.26214	0.0647129	0.0126884	0.0968653
á	0.0132894	0.0190407	0.0792001	0.414773	0.255169	0.155465	0.0120194	0.0510445
m	0.0114537	0.00874454	0.0170853	0.23135	0.238508	0.43356	0.0284877	0.0308109
i	0.0225022	0.0403702	0.0248367	0.222664	0.22709	0.143617	0.102941	0.21598
b	0.00719137	0.0156632	0.0144333	0.154781	0.245085	0.174994	0.239982	0.14787
h	0.00368961	0.00809064	0.0143507	0.103038	0.462382	0.12726	0.173325	0.107865
ώ	0.00058427	0.00171063	0.00981015	0.0701686	0.70825	0.112758	0.0344697	0.0622494
ώ	0.000355304	0.000656266	0.00665571	0.0532529	0.588623	0.279351	0.0309138	0.0401924
s	0.00413436	0.00337053	0.00843347	0.0476747	0.156803	0.511115	0.176233	0.0922359
ω	0.00338313	0.00540355	0.00552178	0.0145113	0.0413553	0.499699	0.194263	0.235863
l	0.00169915	0.00173908	0.0040925	0.028162	0.029396	0.206377	0.498419	0.230115
á	0.00558356	0.00439052	0.00653315	0.0197548	0.0499937	0.22903	0.433049	0.251666
n	0.00224394	0.00214404	0.0128924	0.0797662	0.0485042	0.423519	0.309137	0.121793
g	0.000469183	0.000425942	0.000635992	0.00852087	0.00499394	0.0468822	0.882914	0.0551581
u	0.000234458	0.000552263	0.00097019	0.010305	0.00454482	0.038215	0.763673	0.181506
n	0.00057765	0.000463949	0.00115258	0.0140213	0.0103117	0.0330014	0.786673	0.153798
a	0.00380978	0.0024952	0.00909817	0.0422899	0.0103137	0.0263101	0.588441	0.317242
a	0.00109205	0.000958434	0.00600988	0.066428	0.0705629	0.0845461	0.197113	0.57329
y	0.00729133	0.00684279	0.017868	0.0322738	0.045129	0.370904	0.223191	0.296501
é	0.00357095	0.00934116	0.011687	0.0123895	0.014419	0.445189	0.138693	0.364711
é	0.000731636	0.000736359	0.00275813	0.00650221	0.0225848	0.356419	0.0805532	0.529715
d	0.00262035	0.0082115	0.0123908	0.0260956	0.0311141	0.211888	0.248633	0.459047
i	0.000675518	0.00280003	0.00320851	0.00448762	0.00556734	0.235659	0.141918	0.605685
ε	0.0011789	0.00123812	0.00605853	0.0207586	0.0257221	0.326362	0.203138	0.415544
n	0.00281038	0.00783844	0.0108788	0.0166548	0.0161286	0.130154	0.466171	0.349364
έ	0.00227988	0.00201061	0.00202743	0.00786221	0.00146971	0.00826548	0.869979	0.106105
</S>	0.000445194	0.00052644	0.00216436	0.0117664	0.00792003	0.0815973	0.298502	0.597078
