 	le	fruit	du	palmier	éléphant	est	déjà	mûr	</S>
e	0.454184	0.2933	0.0748137	0.0893936	0.0683558	0.0129945	0.00371403	0.00139085	0.00185338
b	0.117759	0.307417	0.04241	0.0162629	0.49133	0.0138852	0.00705427	0.00168669	0.00219511
v	0.0705042	0.133019	0.0861551	0.190358	0.320894	0.0415505	0.0295007	0.110774	0.0172436
u	0.0606169	0.0892474	0.143206	0.290235	0.125966	0.0318275	0.0338785	0.206343	0.0186803
m	0.208923	0.264101	0.321552	0.0477153	0.0770184	0.0184311	0.00637924	0.0342574	0.0216231
á	0.334252	0.11433	0.208521	0.100248	0.0982638	0.0551335	0.00395713	0.0103748	0.0749205
y	0.116889	0.182376	0.27945	0.130527	0.0337119	0.109342	0.105463	0.00784403	0.0343967
í	0.205646	0.1939	0.280436	0.118291	0.0884093	0.0374188	0.0228817	0.00479084	0.0482262
l	0.113748	0.0805717	0.203369	0.346098	0.133634	0.0573587	0.0354521	0.00851715	0.0212501
e	0.0200949	0.0379537	0.214197	0.262993	0.191225	0.0540324	0.019778	0.0126221	0.187104
b	0.0282812	0.0185669	0.214772	0.1016	0.169831	0.162299	0.0693528	0.0858946	0.149402
h	0.0263232	0.0205364	0.073516	0.114164	0.102989	0.271556	0.131813	0.123702	0.1354
í	0.0163422	0.0128032	0.114368	0.125338	0.123021	0.160622	0.074333	0.121323	0.251849
é	0.0122124	0.00802224	0.110413	0.0939219	0.070833	0.308674	0.155125	0.148921	0.0918768
m	0.0110792	0.0127299	0.0331603	0.040465	0.0404652	0.308686	0.240814	0.0245697	0.288031
i	0.030004	0.0187803	0.0158709	0.0311653	0.00871059	0.232939	0.285042	0.0906571	0.286831
b	0.00858061	0.00888936	0.015996	0.0220686	0.0369439	0.100349	0.193838	0.199854	0.41348
ε	0.00543291	0.0134848	0.00922178	0.0266528	0.0139076	0.0618466	0.167128	0.647744	0.0545814
n	0.000392922	0.000438769	0.00581747	0.00759341	0.0265879	0.0479533	0.028336	0.592341	0.29054
g	0.00644706	0.00793769	0.0101663	0.0187836	0.283223	0.0569486	0.0233693	0.502922	0.0902022
ε	0.00246615	0.00171828	0.0106258	0.0415135	0.0385248	0.0111925	0.00367651	0.816373	0.0739098
</S>	0.0112238	0.00879563	0.0322554	0.0567994	0.0187422	0.20105	0.0853481	0.0996915	0.486094
