 	le	pagne	flotte	sur	le	fil	du	séchoir	</S>
i	0.805781	0.131286	0.0220522	0.0122038	0.00773458	0.0122657	0.00856591	2.82818e-05	8.31395e-05
p	0.0462272	0.92974	0.0147344	0.00123886	0.00122346	0.00481766	0.000773979	0.000436571	0.000808097
f	0.000563737	0.984141	0.0127983	8.65278e-05	0.0001393	5.71553e-05	3.62431e-05	0.00203289	0.000144779
ú	0.0172442	0.949804	0.0226282	0.0019495	0.00251244	0.0026152	0.000524726	0.00233484	0.000386838
t	0.04526	0.813931	0.100948	0.00758475	0.0107271	0.00311855	0.0115928	0.00283392	0.00400408
a	0.039167	0.667643	0.240828	0.00270097	0.00357415	0.000686219	0.0067536	0.00302141	0.0356263
l	0.318699	0.0449073	0.287312	0.220901	0.0302741	0.0117387	0.0270418	0.00279477	0.0563317
í	0.267809	0.0255916	0.195895	0.188637	0.0593917	0.0377038	0.0397379	0.00907011	0.176164
i	0.335971	0.00791539	0.10808	0.289208	0.105393	0.0400321	0.033256	0.0057864	0.0743591
p	0.0242271	0.0173907	0.607816	0.156785	0.106344	0.0231132	0.0101244	0.0154432	0.0387571
ε	0.00238366	0.0539876	0.730596	0.0510386	0.111612	0.00765577	0.0045293	0.0264618	0.0117354
b	0.1026	0.0692031	0.352923	0.170946	0.174244	0.0412384	0.0248213	0.00409973	0.0599244
h	0.277444	0.0438249	0.196316	0.14384	0.176201	0.0314238	0.103512	0.000783584	0.0266547
έ	0.0965491	0.04202	0.296325	0.178613	0.175331	0.0282002	0.0939474	0.00344037	0.0855738
ó	0.0222843	0.0095802	0.0418087	0.164799	0.314459	0.19209	0.206791	0.0168466	0.0313411
s	0.0112733	0.00184845	0.0036122	0.0305648	0.112367	0.579785	0.225244	0.0267681	0.00853703
i	0.0037508	0.000155614	0.000568441	0.0204973	0.0567004	0.735854	0.132244	0.0176634	0.0325655
n	0.00256695	0.000145583	0.0003683	0.02	0.0572636	0.628947	0.150039	0.0791942	0.0614746
g	0.00170892	0.000171724	0.000698673	0.0298803	0.0641268	0.595467	0.159087	0.0207538	0.128106
a	0.00237414	0.00179463	0.00509015	0.0371232	0.0696332	0.328371	0.104789	0.122795	0.32803
y	0.00242409	0.000567951	0.00182788	0.0306586	0.0390605	0.162347	0.222705	0.123732	0.416677
í	0.0260745	0.00886919	0.0130846	0.0425216	0.0368606	0.0439045	0.200665	0.523204	0.104816
k	0.00684365	0.000702613	0.00167614	0.0105837	0.0133207	0.047476	0.202638	0.451099	0.26566
á	0.00110198	0.0098505	0.011536	0.00448778	0.00934577	0.0145398	0.0414666	0.823296	0.084376
n	0.000878867	0.00319884	0.00527364	0.0075311	0.00497882	0.00933919	0.0412486	0.86462	0.0629314
d	0.000987514	0.0134035	0.00590653	0.00802326	0.00948856	0.0159091	0.0432249	0.365786	0.537271
á	0.00280583	0.0174195	0.006395	0.0248892	0.0144741	0.0208619	0.0583262	0.196535	0.658294
</S>	0.00926919	0.00102914	0.00680276	0.0150028	0.00816398	0.0115368	0.113774	0.0585794	0.775842
