 	je	suis	dans	la	joie	parce	que	je	me	suis	fait	baptiser	</S>
n	0.491785	0.154044	0.0515665	0.0904399	0.0421043	0.119998	0.0244165	0.00562177	0.00772837	0.00832296	0.00315215	0.000631881	0.000189281
g	0.986911	0.00260117	0.000408243	0.00258047	0.000241916	0.000503874	0.000881251	0.00127751	0.00246403	3.97927e-05	3.19134e-05	0.00204487	1.43046e-05
á	0.975644	0.00886806	0.0017874	0.00201538	0.000350441	0.00074766	0.000737414	0.00451158	0.00223032	0.000225352	0.000145097	0.00272216	1.49173e-05
i	0.119973	0.205044	0.0457867	0.155136	0.0394307	0.0182145	0.0482321	0.0333798	0.0286381	0.0214972	0.0235986	0.0277278	0.233341
d	0.0114498	0.263068	0.47766	0.0890355	0.0175602	0.00193464	0.00456957	0.00813583	0.0102777	0.0523593	0.0335934	0.00224322	0.0281122
í	0.0204472	0.244093	0.555065	0.0631357	0.0264846	0.00152081	0.00685671	0.00447442	0.0206095	0.0086162	0.00701717	0.00172693	0.0399532
l	0.0053887	0.0844098	0.373357	0.235934	0.155381	0.0443161	0.0322666	0.00349388	0.0150202	0.0117871	0.0127588	0.00395601	0.0219305
a	0.00659022	0.0907945	0.177937	0.162261	0.166221	0.0398481	0.0634965	0.0366391	0.0332247	0.0243849	0.0172307	0.00566817	0.175703
y	0.00456845	0.0621561	0.0994565	0.133486	0.172445	0.0677159	0.0768653	0.0213008	0.0300639	0.0314472	0.0283483	0.0623607	0.209786
έ	0.000894978	0.0517783	0.46644	0.103759	0.123867	0.00867855	0.0516323	0.0305559	0.0271496	0.02227	0.0228122	0.0155556	0.0746063
l	0.000222073	0.010863	0.0557742	0.0608891	0.137161	0.0150961	0.0580471	0.0232225	0.0232126	0.0365938	0.0249765	0.211493	0.342449
ε	0.000810346	0.0399129	0.0844338	0.199442	0.167	0.0384949	0.131322	0.0566272	0.0570269	0.0849279	0.0376995	0.0269675	0.0753356
t	0.000131344	0.0129394	0.019412	0.142319	0.27775	0.162841	0.243805	0.0290114	0.0142726	0.02158	0.0149238	0.00579201	0.0552226
s	0.000771395	0.0041223	0.00516882	0.0640287	0.118861	0.406478	0.223019	0.0204213	0.00629617	0.0143902	0.0244105	0.00445123	0.107581
í	0.000495032	0.0054422	0.0293898	0.064753	0.0492831	0.377656	0.161979	0.0252337	0.00790637	0.0796388	0.0667567	0.011391	0.120076
n	0.00358319	0.00465845	0.0145018	0.0252532	0.0408271	0.281709	0.186019	0.217141	0.062192	0.0420689	0.0116686	0.00174413	0.108634
a	0.0171678	0.00353395	0.00470039	0.00518757	0.00671433	0.0200978	0.14688	0.417572	0.166161	0.0340513	0.00947447	0.0281856	0.140273
n	0.000700039	0.00238096	0.00263462	0.00885842	0.0190881	0.0336789	0.210772	0.414892	0.219522	0.0570184	0.0159059	0.0012701	0.013279
g	0.0119968	0.00176837	0.000870291	0.00223971	0.00221204	0.00225151	0.0478924	0.716183	0.166871	0.00909464	0.00269076	0.0148259	0.0211038
á	0.00311745	0.00061804	0.000304035	0.00212811	0.00229561	0.00177481	0.0306954	0.712052	0.161851	0.0154329	0.00545126	0.0567675	0.00751229
í	0.000557851	0.00421388	0.00332831	0.0181454	0.0436276	0.0807847	0.265635	0.13539	0.177717	0.113559	0.101	0.00835891	0.0476828
m	0.00272758	0.0169458	0.0241945	0.00851011	0.00908937	0.00270987	0.0106794	0.0372575	0.163363	0.390849	0.282206	0.028161	0.0233071
i	0.000364613	0.0294417	0.0372259	0.0134352	0.0108924	0.00422238	0.0115954	0.0112223	0.214583	0.256045	0.296464	0.0207234	0.0937845
k	9.16056e-05	0.0196905	0.0343887	0.00483805	0.00196238	0.000454593	0.00101425	0.000937247	0.00915877	0.577773	0.287511	0.0176822	0.0444981
o	1.96967e-06	0.000660633	0.00308036	0.00125392	0.00102039	0.000666631	0.000750064	0.000333777	0.00356393	0.441368	0.361198	0.00742479	0.178677
b	6.84888e-06	0.00130744	0.00380139	0.00152694	0.000853216	0.00125321	0.00139675	0.00105473	0.00446085	0.485233	0.382831	0.0298457	0.0864291
h	3.88882e-05	0.00151404	0.00341713	0.00283961	0.00196062	0.00300464	0.00267385	0.000819043	0.00409539	0.303811	0.22954	0.0252545	0.421032
á	2.83172e-05	0.000277232	0.00156229	0.00240165	0.00449398	0.0221765	0.0117667	0.0128185	0.019355	0.197079	0.242261	0.0925667	0.393213
n	7.64504e-05	0.00181989	0.00394715	0.00953155	0.0252477	0.0433181	0.0343092	0.0221168	0.12238	0.0868565	0.282161	0.16004	0.208196
z	0.000656214	0.00015494	0.00017135	0.000903558	0.00114193	0.00228285	0.00762139	0.0321518	0.0784901	0.015987	0.0217359	0.792021	0.0466822
a	0.00129614	4.53536e-05	7.10968e-05	0.000223635	0.000281627	0.000437028	0.00133766	0.0284654	0.0330358	0.00935242	0.0152546	0.88233	0.0278695
m	7.02588e-05	0.000229166	0.000554763	0.000663052	0.000689894	0.00111904	0.00232645	0.00468503	0.0225026	0.0928986	0.181345	0.357177	0.335739
b	0.00148623	0.00283229	0.00412047	0.00838589	0.00957319	0.0207428	0.00813109	0.00410127	0.0136176	0.0283903	0.0942203	0.176682	0.627716
é	0.00174747	0.00912898	0.0124809	0.0162337	0.00952605	0.0427608	0.0109442	0.00197982	0.00739293	0.0736727	0.0990332	0.164281	0.550818
</S>	9.36739e-05	0.00057796	0.000832361	0.00117874	0.00143461	0.00428619	0.00630102	0.00521864	0.0140173	0.071739	0.142821	0.0532197	0.69828
