 	la	condition	d'	orphelin	donne	des	soucis	</S>
o	0.966457	0.011709	0.0103573	0.00191305	0.00274697	0.00304184	0.00339534	0.000379061
t	0.0333301	0.934031	0.0157304	0.00339942	0.0029475	0.00154211	0.00799383	0.00102577
s	0.0208066	0.921317	0.0249729	0.0019726	0.0180303	0.00172424	0.00677572	0.00440084
á	0.0888006	0.820567	0.0516706	0.0214986	0.00967013	0.00241048	0.00302831	0.00235401
á	0.115181	0.519818	0.175847	0.0218477	0.0230404	0.0110867	0.00306112	0.130118
n	0.239769	0.0499548	0.44674	0.145264	0.0484301	0.0344542	0.00212484	0.0332634
y	0.0671013	0.0247717	0.0972092	0.376083	0.0291776	0.194303	0.0315615	0.179793
i	0.00670601	0.00987118	0.0215592	0.701948	0.00793034	0.045515	0.199159	0.00731112
b	0.00949318	0.0552515	0.188146	0.428946	0.0897944	0.052789	0.133654	0.0419259
ó	0.0120291	0.00865537	0.161947	0.165742	0.331161	0.10002	0.0293029	0.191143
o	0.0507034	0.00715189	0.242765	0.0783849	0.423303	0.0603906	0.0137695	0.123532
p	0.00901234	0.0335229	0.146882	0.0890736	0.550684	0.0233163	0.0121543	0.135354
ε	0.000749501	0.0221174	0.126117	0.0453575	0.63509	0.0250602	0.0535662	0.0919423
n	0.0408544	0.0188388	0.276677	0.0570738	0.240456	0.0514204	0.174506	0.140173
y	0.00476613	0.00280089	0.0837284	0.207782	0.192041	0.260576	0.15388	0.0944263
i	0.00246781	0.00550875	0.0494258	0.248615	0.105886	0.109096	0.334012	0.144989
n	0.0023711	0.000103827	0.0323405	0.0895819	0.11169	0.440743	0.0580573	0.265113
g	0.000523882	0.000286064	0.00182789	0.257155	0.0213143	0.318852	0.260797	0.139245
a	0.000147659	0.000154365	0.00097496	0.12666	0.0064079	0.0948974	0.729313	0.0414448
</S>	0.00031359	0.000111969	0.00384598	0.0303561	0.0393097	0.233634	0.0677379	0.624691
