 	l'	herbe	qui	pousse	le	plus	dans	un	terrain	favorable	à	la	cul-	ture	de	l'	arachide	est	le	chiendent	</S>
i	0.28513	0.286509	0.112333	0.0812606	0.0534943	0.0441772	0.0546462	0.0224394	0.0130071	0.0226658	0.00145001	0.00359177	0.00108195	0.00140065	0.00449767	0.00219189	0.00130841	0.00127644	0.00603571	0.000767494	0.00073522
s	0.0205825	0.643698	0.0292681	0.0216889	0.0755499	0.0202016	0.0494139	0.0418833	0.0157197	0.0030831	0.00271583	0.00627957	0.00483447	0.000921774	0.0111514	0.0056885	0.00282098	0.00154686	0.00700123	0.0347731	0.00117689
i	0.0152561	0.513552	0.119578	0.0230995	0.179583	0.018187	0.0424184	0.0244371	0.016782	0.00128815	0.00180465	0.00346665	0.0188432	0.00166196	0.00264212	0.00300259	0.0067656	0.000712357	0.000551813	0.00229905	0.00406827
m	0.0226641	0.282468	0.439765	0.0619405	0.104794	0.00948164	0.0153959	0.00599199	0.00467897	0.000222307	0.000839171	0.00263281	0.00547161	0.00262984	0.00187101	0.00105438	0.00326855	0.000932911	0.00113431	0.00448178	0.0282813
i	0.228173	0.272843	0.268595	0.0538105	0.110869	0.0302205	0.0193308	0.00270326	0.0016296	0.000702412	0.000997947	0.000735842	0.000423538	0.000301457	0.000939031	0.000954311	0.000157601	0.000403521	0.00017505	0.000111327	0.00592302
l	0.049886	0.0411629	0.0663238	0.135924	0.266601	0.114129	0.148203	0.0520876	0.0193211	0.01398	0.0117503	0.00617941	0.00595629	0.00560379	0.00513407	0.00284043	0.00133707	0.00381461	0.00217498	0.000769891	0.0468201
í	0.0320258	0.017881	0.0348089	0.0663819	0.0929506	0.0590636	0.0321383	0.0494644	0.114685	0.0895711	0.0353823	0.0136217	0.0378469	0.0108887	0.0249714	0.0299688	0.00565768	0.0134897	0.0150586	0.00592787	0.218216
i	0.0307733	0.0230605	0.122039	0.123282	0.169332	0.107734	0.110822	0.104979	0.0614016	0.028404	0.0158446	0.0143386	0.0171143	0.0133303	0.00892814	0.0061492	0.00543828	0.00276338	0.0126836	0.00289809	0.0186846
p	0.00341637	0.00787385	0.00309688	0.0160567	0.0601127	0.0390038	0.0415914	0.0896016	0.420867	0.0887139	0.0245391	0.0165414	0.0285576	0.0256639	0.00730643	0.00619375	0.0198981	0.00924737	0.00634909	0.0331694	0.0521997
é	0.00081423	0.00135734	0.00058163	0.00202152	0.0112107	0.00935007	0.00690389	0.0358949	0.818712	0.0443086	0.00571948	0.0045713	0.00635865	0.0178506	0.00311826	0.00138752	0.0100427	0.00186686	0.000534529	0.00771888	0.00967624
