 	la	fièvre	m'	abat	</S>
i	0.507567	0.478876	0.0130352	5.45626e-05	0.000467501
k	0.298326	0.684869	0.0105918	0.00253841	0.00367487
ω	0.363292	0.584661	0.000907287	0.00871331	0.0424265
n	0.168554	0.782208	0.0125261	0.010679	0.0260335
í	0.322129	0.266637	0.00712848	0.00400172	0.400103
l	0.596484	0.273652	0.0927182	0.0114257	0.0257198
í	0.0731188	0.0778676	0.185207	0.0286575	0.635149
i	0.274802	0.116561	0.377677	0.157624	0.0733358
b	0.00671636	0.0267924	0.0166724	0.825148	0.12467
o	0.00342402	0.00736834	0.00364958	0.919953	0.0656052
m	0.0212943	0.016086	0.00670082	0.596844	0.359075
á	0.0278683	0.00679802	0.00511849	0.080544	0.879671
n	0.0241034	0.0112842	0.394965	0.325052	0.244596
g	0.0271154	0.0702904	0.560957	0.128269	0.213368
á	0.011851	0.052541	0.704928	0.168106	0.062574
</S>	0.0600848	0.0231564	0.11661	0.239602	0.560547
