 	il	y	a	une	guerre	à	brazaville	</S>
ó	0.130157	0.398214	0.211956	0.204599	0.04097	0.0088015	0.00476716	0.000536255
n	0.00822877	0.0217035	0.0605853	0.207019	0.677698	0.00382386	0.019946	0.000995493
g	0.00633182	0.0541868	0.0279763	0.0786413	0.0367802	0.00482144	0.759891	0.0313712
y	0.00234752	0.03382	0.0332478	0.0845767	0.295932	0.00978545	0.5257	0.0145909
ε	0.00262007	0.0203829	0.00704149	0.0341617	0.00752448	0.0060507	0.906167	0.0160514
l	0.00347368	0.0368999	0.01124	0.035032	0.0331632	0.0775571	0.658077	0.144557
έ	0.0336872	0.0644856	0.0338226	0.0904112	0.055434	0.108061	0.105824	0.508274
p	0.145274	0.158151	0.246709	0.166395	0.0317421	0.185676	0.0120952	0.0539585
é	0.205959	0.134627	0.174636	0.222977	0.0429335	0.0617841	0.0656871	0.0913961
é	0.0968426	0.0446438	0.155178	0.119299	0.166108	0.101347	0.023721	0.292861
d	0.0102692	0.00830274	0.0543009	0.0262243	0.0143653	0.375024	0.0123349	0.499178
í	0.000275694	0.00088006	0.00683957	0.00772762	0.00207097	0.132927	0.0226065	0.826673
l	0.00510616	0.0164069	0.0644398	0.0799561	0.0369271	0.267409	0.0541244	0.475631
e	0.00561293	0.00416294	0.0139761	0.00961212	0.00107097	0.0908007	0.0962846	0.77848
t	0.00191752	0.00460496	0.0060631	0.0159651	0.00301126	0.0503338	0.704072	0.214032
u	0.00566379	0.0183521	0.0206495	0.061468	0.0352184	0.103741	0.453148	0.301759
m	0.00108081	0.00606989	0.00463891	0.343442	0.0267454	0.103295	0.217797	0.296931
b	0.0060825	0.0137405	0.0104488	0.054878	0.0523086	0.382897	0.238879	0.240765
a	0.00216947	0.00299504	0.00219192	0.0198297	0.0184527	0.117733	0.643706	0.192923
</S>	0.00109308	0.00407748	0.0057049	0.00316582	0.00102132	0.200995	0.0180761	0.765866
