 	la	graisse	de	boeuf	s'	est	coagulée	</S>
a	0.542931	0.389179	0.0571094	0.00332192	0.00398493	0.00256349	0.000711167	0.000199065
w	0.138343	0.830795	0.0197274	0.00295187	0.000722322	0.00214441	0.00500206	0.000313227
ú	0.116502	0.730079	0.0673652	0.040924	0.0174196	0.0171721	0.00397878	0.00655928
r	0.321655	0.634914	0.0191093	0.0143736	0.000891799	0.00377401	0.00185367	0.00342888
a	0.535085	0.347066	0.0781835	0.0189415	0.00285178	0.00289749	0.00532901	0.00964564
m	0.256073	0.117376	0.462451	0.0755492	0.0578588	0.0188946	0.00147605	0.0103219
á	0.397683	0.0723427	0.211669	0.273399	0.0376837	0.0058847	5.55966e-05	0.00128278
n	0.422163	0.103256	0.136011	0.195739	0.110932	0.013827	0.00200549	0.0160664
g	0.0914416	0.0281794	0.0615417	0.581366	0.205115	0.00472456	0.000325629	0.027306
w	0.0109909	0.0395262	0.0795908	0.719902	0.131403	0.00409906	0.00115901	0.0133292
έ	0.0213679	0.0192405	0.0300907	0.826717	0.0858209	0.00941065	0.000266589	0.00708562
m	0.015832	0.018382	0.249479	0.385366	0.204235	0.0699091	0.00546887	0.0513274
b	0.232545	0.0578927	0.193418	0.428093	0.0560545	0.0194578	0.000406259	0.012132
ε	0.133662	0.11467	0.0680558	0.519234	0.120578	0.0274908	0.00226281	0.0140467
á	0.0475687	0.00750447	0.378595	0.14545	0.192832	0.1801	0.00967046	0.0382793
b	0.00312432	0.000725901	0.0102096	0.0149247	0.0395538	0.662267	0.231202	0.0379922
h	0.00257922	0.0014635	0.0112248	0.0112975	0.0559078	0.581263	0.250562	0.0857015
i	0.0225673	0.00145701	0.0219638	0.0201707	0.0680565	0.417872	0.366272	0.0816406
a	0.00808177	0.00266896	0.0150528	0.0216286	0.0330748	0.276824	0.315514	0.327155
k	0.00784104	0.00456626	0.00852326	0.0151666	0.0269573	0.144632	0.487531	0.304782
o	0.00135622	0.000799446	0.000739291	0.000788344	0.00327696	0.0408589	0.776079	0.176102
r	0.000230687	0.000309283	0.00103098	0.000750599	0.00166361	0.015196	0.731899	0.24892
í	0.0224953	0.0153414	0.0107923	0.0197099	0.0124571	0.0663388	0.331527	0.521338
r	0.0134593	0.00471092	0.0218072	0.0324862	0.0405388	0.091279	0.118701	0.677017
á	0.014456	0.0142773	0.00738975	0.0553539	0.0366567	0.039578	0.0493081	0.78298
k	0.00266649	0.00053361	0.00664319	0.00978692	0.0103622	0.0440478	0.129851	0.796109
o	0.00198781	0.000655589	0.00472688	0.000826947	0.00202954	0.0340592	0.330449	0.625265
r	0.000561794	0.00180422	0.000714688	0.00068473	0.00110603	0.01842	0.705376	0.271332
i	0.00113374	0.00294431	0.00136889	0.00207993	0.000610909	0.0127175	0.212297	0.766847
r	0.0134493	0.0169092	0.038701	0.0282589	0.0200861	0.0510122	0.092297	0.739286
a	0.0389455	0.0475067	0.0180556	0.0738837	0.0267942	0.0127232	0.0371605	0.74493
</S>	0.0456704	0.00495321	0.021015	0.0323174	0.0177098	0.014165	0.0231171	0.841052
