 	les	branches	pendent	au-dessus	du	chemin	</S>
i	0.463556	0.288284	0.198732	0.0380462	0.00948048	0.00135943	0.000541949
t	0.76301	0.12508	0.0489404	0.0170279	0.0316565	0.0102609	0.00402404
á	0.470173	0.308699	0.0888213	0.0639206	0.0338648	0.0197929	0.014728
b	0.275754	0.169083	0.101824	0.0632418	0.0409005	0.0172573	0.33194
h	0.160814	0.239907	0.492534	0.053331	0.0234821	0.0037983	0.0261336
e	0.611632	0.287822	0.0727359	0.0106492	0.00285677	0.00136147	0.0129428
b	0.321659	0.338022	0.214184	0.0785973	0.0200907	0.00497916	0.0224683
á	0.229146	0.179857	0.252162	0.161703	0.0489525	0.0243894	0.103791
b	0.168942	0.362412	0.381144	0.040223	0.0104825	0.00366123	0.0331352
v	0.230515	0.359221	0.259247	0.12082	0.0185296	0.0053001	0.0063675
ú	0.190602	0.759783	0.0229826	0.0119302	0.00479824	0.000304802	0.00959868
a	0.338046	0.30157	0.0412606	0.211092	0.0861527	0.0127916	0.00908678
b	0.0631603	0.127704	0.0996093	0.595063	0.0586898	0.00513287	0.0506413
í	0.179217	0.168744	0.0910654	0.357003	0.140289	0.0255665	0.0381154
i	0.145199	0.339224	0.145183	0.198789	0.0736428	0.0146371	0.0833241
l	0.00866889	0.00750188	0.0106403	0.62447	0.232045	0.0398774	0.0767964
y	0.0120851	0.00315319	0.00574704	0.484006	0.350644	0.0948854	0.0494796
έ	0.0317296	0.00489801	0.00214148	0.403194	0.404083	0.120392	0.0335618
m	0.0101163	0.0188626	0.0108301	0.328417	0.414104	0.13621	0.081461
έ	0.0379081	0.136917	0.0195314	0.431051	0.247531	0.0130794	0.113982
ó	0.00941721	0.0171862	0.00963146	0.185872	0.264306	0.31753	0.196058
k	0.135367	0.0304365	0.00520124	0.08067	0.221137	0.407423	0.119765
ó	0.0165381	0.0147351	0.030949	0.158324	0.196891	0.535462	0.0471
ó	0.00175082	0.000650006	0.00504878	0.0747148	0.161755	0.626627	0.129453
</S>	0.0226145	0.0195343	0.0123583	0.0516944	0.135728	0.268182	0.489889
