 	il	m'	a	insulté	en	présence	des	enfants	</S>
w	0.86297	0.104154	0.0152233	0.00317385	0.00389632	0.00177567	0.00691536	0.00165059	0.000240772
a	0.588634	0.301336	0.0198955	0.00285327	0.021502	0.00993425	0.0473243	0.00844278	7.77053e-05
á	0.154573	0.176456	0.53057	0.0511601	0.0284442	0.0122519	0.0182479	0.00415444	0.0241426
t	0.0314063	0.210095	0.621154	0.0511047	0.0125269	0.027632	0.0160617	0.00241132	0.0276078
ú	0.00450201	0.00586025	0.308897	0.499759	0.0781834	0.0199171	0.00720795	0.00322654	0.0724472
u	0.0145174	0.0190704	0.324117	0.587478	0.0320245	0.00538172	0.00334756	0.0019593	0.0121047
n	0.0398185	0.225833	0.214647	0.270672	0.138984	0.0257471	0.0155579	0.0217266	0.0470135
g	0.0850918	0.347036	0.1666	0.192503	0.106555	0.027322	0.0482721	0.0094318	0.0171883
á	0.0454907	0.345791	0.190898	0.138819	0.100756	0.047367	0.0737662	0.0118348	0.0452777
ó	0.00819022	0.0179833	0.0580409	0.113003	0.542524	0.077387	0.0863638	0.0925956	0.00391281
m	0.00481375	0.00473773	0.0353723	0.0375716	0.466129	0.235752	0.164135	0.0345294	0.0169588
í	0.00932011	0.00917285	0.0141934	0.011322	0.153882	0.440913	0.0897703	0.171775	0.0996518
s	0.00244218	0.00518895	0.0457935	0.00971624	0.0958664	0.367015	0.219238	0.117768	0.136972
i	0.000408514	0.00937532	0.0138823	0.00582808	0.0534394	0.416931	0.299472	0.0253461	0.175317
m	0.00250034	0.00371946	0.0248161	0.0241906	0.169744	0.236361	0.334949	0.0450496	0.158671
á	0.0379068	0.0100314	0.0078921	0.00465124	0.0485961	0.197859	0.17452	0.232946	0.285596
b	0.01175	0.00608559	0.0077495	0.0027215	0.0484459	0.156871	0.236658	0.449474	0.0802448
á	0.00170208	0.00520597	0.000731082	0.000109908	0.00467775	0.0547833	0.0308583	0.897654	0.00427758
n	0.000812444	0.00280808	0.00101189	0.000377165	0.0076386	0.0421029	0.0435341	0.857991	0.0437234
a	0.00248304	0.00291593	0.00502624	0.00600168	0.0227383	0.0924608	0.205541	0.389667	0.273166
</S>	0.00166761	0.0015471	0.0117172	0.0024825	0.0225429	0.127907	0.207151	0.0147509	0.610234
