 	ma	femme	a	porté	un	pagne	</S>
m	0.876189	0.110676	0.00847175	0.00161147	0.00233927	0.000539598	0.000173117
w	0.0693654	0.910872	0.0104408	0.00479582	0.00385821	3.93718e-05	0.000628648
á	0.0774421	0.919298	0.00173161	0.00101101	0.000372442	0.000119372	2.56223e-05
s	0.690378	0.29778	0.00531746	0.00120068	0.00102653	0.000163982	0.00413366
í	0.354529	0.281537	0.0534836	0.184386	0.0192947	0.00158776	0.105182
y	0.643567	0.117202	0.103819	0.0280788	0.0491472	0.00199352	0.0561927
a	0.493755	0.256569	0.101969	0.0219791	0.0355976	0.0307107	0.0594193
n	0.913229	0.0652959	0.0127151	0.0023513	0.00240527	0.000474082	0.00352913
g	0.93417	0.0350822	0.00670887	0.0160593	0.00496044	0.000122058	0.00289694
á	0.205823	0.232097	0.113774	0.234571	0.052039	0.00206684	0.159629
á	0.0493474	0.0420198	0.692694	0.0841135	0.109562	0.00360536	0.0186575
l	0.00784163	0.00262366	0.202367	0.718489	0.054349	0.00163302	0.0126967
á	0.00777584	0.00159888	0.0567945	0.894634	0.0247253	0.000387121	0.0140842
r	0.0798436	0.00491656	0.0418464	0.809213	0.0540669	0.000591304	0.00952211
i	0.157576	0.00445568	0.260846	0.382143	0.164122	0.00661025	0.0242461
e	0.0237736	0.0173166	0.217797	0.0790212	0.433715	0.148227	0.0801498
l	0.00940859	0.0121983	0.0619509	0.126282	0.417128	0.277595	0.0954376
ε	0.0221919	0.00243331	0.0273317	0.15447	0.603956	0.0998399	0.0897766
m	0.00914614	0.00510791	0.0225285	0.0773425	0.318373	0.40604	0.161461
b	0.00634828	0.0173077	0.0122837	0.0342665	0.443572	0.0383897	0.447832
ε	0.0130659	0.00222038	0.0292616	0.0206865	0.433712	0.105886	0.395168
</S>	0.0024328	0.000184877	0.0203415	0.0329284	0.217786	0.182008	0.544319
