 	beatsanyi	presse	les	mamelles	avant	de	faire	têter	l'	enfant	</S>
b	0.95052	0.00938357	0.00270873	0.0158815	0.0105086	0.00346982	0.00126776	0.000385099	0.00555002	0.000231818	9.2765e-05
e	0.830207	0.119754	0.0209853	0.0152357	0.00381803	0.00204571	0.000436561	0.00173237	0.00192699	0.00300756	0.000850039
a	0.846877	0.0971629	0.0238298	0.0108031	0.00349596	0.00280098	0.00094664	0.0017377	0.0016448	0.00532076	0.00538087
t	0.348862	0.280863	0.0748114	0.0208268	0.0363032	0.0276827	0.0186171	0.0500214	0.00187744	0.000310865	0.139823
s	0.267047	0.181667	0.421909	0.0467934	0.0270335	0.0154076	0.0117517	0.00638102	0.000998767	0.00343972	0.0175705
á	0.0758209	0.80615	0.0805186	0.0195326	0.00574621	0.00276729	0.00127621	0.00212061	0.00169588	0.00105859	0.00331347
á	0.0381862	0.734188	0.0353398	0.0248165	0.00285572	0.00306678	0.00316111	0.0163935	0.00144773	0.00972336	0.130822
n	0.0260886	0.505341	0.306493	0.0992655	0.0152004	0.00859016	0.00388371	0.00598191	0.00566588	0.00823884	0.0152515
y	0.00203963	0.799217	0.0564227	0.0208128	0.00183916	0.00947997	0.00153818	0.00560114	0.0242017	0.0447371	0.0341109
i	0.00553059	0.676555	0.095799	0.169106	0.00619108	0.00720985	0.00230034	0.00495327	0.00686332	0.0183236	0.00716807
l	0.00317079	0.649585	0.205896	0.0491548	0.0352277	0.016755	0.00974033	0.0180198	0.00243923	0.000101768	0.00991
á	0.0140581	0.529291	0.259623	0.0541256	0.0182622	0.0178689	0.0077904	0.0186097	0.00289527	0.00206931	0.0754069
a	0.00686517	0.187207	0.420543	0.219441	0.0938527	0.032275	0.0107505	0.00849458	0.00914582	0.00157062	0.00985542
b	0.000994267	0.107198	0.281098	0.18345	0.319028	0.0282678	0.0224015	0.0375392	0.00121412	0.000865593	0.0179438
h	0.0053642	0.0361308	0.149519	0.433644	0.297181	0.0376001	0.0168632	0.0153686	0.00107837	0.00360174	0.00364981
í	0.00720276	0.0721279	0.178113	0.28277	0.415396	0.0187701	0.0100993	0.00987997	0.000774748	0.000425226	0.00444054
n	0.00187752	0.0637876	0.148279	0.47858	0.217451	0.0386442	0.017107	0.0171804	0.00111576	0.000561556	0.0154157
y	0.00154059	0.0890594	0.124363	0.57515	0.0869858	0.0250934	0.00690354	0.022213	0.00764772	0.00275533	0.0582885
á	0.000491196	0.119416	0.135346	0.395724	0.177688	0.0651726	0.0214724	0.0309631	0.0167432	0.00572542	0.031258
a	0.000861423	0.00630755	0.0691032	0.554713	0.0908875	0.130992	0.030152	0.0251736	0.0320176	0.0166065	0.0431851
b	0.000657706	0.00517856	0.0223508	0.12372	0.323948	0.364918	0.108907	0.0310355	0.00733436	0.00471913	0.0072306
έ	0.00724806	0.00315055	0.0329798	0.167717	0.521273	0.112305	0.111861	0.0325332	0.000803993	0.0070387	0.00308984
ε	0.000929598	0.0046132	0.0451108	0.16005	0.171317	0.302486	0.0841026	0.074933	0.0156423	0.0372925	0.103523
o	7.61396e-05	0.000863728	0.00513017	0.0177128	0.140338	0.429523	0.222433	0.119456	0.0160877	0.00152603	0.0468526
b	0.000117385	0.00661987	0.00672071	0.00679631	0.117226	0.221936	0.386156	0.229764	0.00416114	0.000730958	0.0197715
o	0.00172463	0.00910234	0.0222349	0.0188752	0.403955	0.0619051	0.280017	0.18097	0.00291591	0.000976288	0.0173236
s	0.000497513	0.00681443	0.00875354	0.0169368	0.371814	0.0642922	0.319073	0.162284	0.00280898	0.000458453	0.0462672
ó	0.000140785	0.00233878	0.0039213	0.00856555	0.130147	0.136773	0.387049	0.196172	0.00596042	0.000669257	0.128264
b	5.31819e-05	0.00125855	0.00449356	0.00846787	0.0191216	0.135439	0.138684	0.406547	0.0646067	0.0017886	0.21954
í	0.000315401	0.00396852	0.0126782	0.00901172	0.0162554	0.0819389	0.0775801	0.250186	0.110322	0.043305	0.394439
p	0.00177219	0.0159381	0.0134794	0.0178182	0.0327332	0.0818834	0.129029	0.342174	0.137078	0.113723	0.114371
έ	0.00119238	0.0111086	0.0128632	0.0175773	0.0559809	0.0697207	0.245053	0.323182	0.124292	0.0204862	0.118544
ε	0.00059566	0.00142767	0.00756305	0.0169678	0.0393342	0.153077	0.246629	0.200739	0.150093	0.0328696	0.150705
l	9.51641e-05	0.000706455	0.00230279	0.00829173	0.00284245	0.0559797	0.0484765	0.170045	0.421291	0.0464602	0.243509
á	7.55276e-05	0.00239036	0.00536819	0.00331139	0.00576023	0.0720288	0.0739744	0.299698	0.118614	0.00378479	0.414994
m	0.000237593	0.00134203	0.00405126	0.00696231	0.00397671	0.0176447	0.00459547	0.0145475	0.864103	0.0530323	0.0295073
w	4.00533e-05	0.000121741	0.000694754	0.000762383	0.00104439	0.00749587	0.00219552	0.00587323	0.0192313	0.939989	0.0225516
á	5.3292e-06	1.18027e-05	1.84493e-05	0.000122342	8.97178e-05	0.000237028	0.000113096	0.000540771	0.000628824	0.997835	0.000397673
n	0.000645593	0.000479849	0.000575535	0.00251482	0.00239419	0.00730211	0.0019891	0.00703918	0.0831046	0.886492	0.00746312
a	0.000292506	0.00187033	0.00148642	0.0041616	0.00115648	0.00447003	0.00363219	0.0121314	0.10487	0.787867	0.0780616
</S>	0.000183722	0.00109244	0.00314615	0.00403778	0.00343686	0.0765739	0.0565856	0.0919622	0.505842	0.0104047	0.246735
