 	nous	sommes	tombés	d'	accord	pour	partir	à	la	pêche	</S>
b	0.393242	0.564781	0.00515425	0.00305753	0.01511	0.00912559	0.00103397	0.0035741	0.00343309	0.000771937	0.000715809
í	0.648088	0.232992	0.00398365	0.0212015	0.0725029	0.0147992	0.000325647	0.00158111	0.00440118	3.03209e-05	9.42834e-05
s	0.929775	0.0688896	0.000487502	0.000140359	0.000376582	0.000148983	0.00013336	1.71935e-05	2.49942e-05	6.58409e-07	5.90898e-06
í	0.491013	0.350513	0.0259794	0.0194	0.0697933	0.0142835	0.00786232	0.0059746	0.0121899	6.51296e-05	0.00292589
l	0.0818737	0.47623	0.128906	0.010263	0.0363522	0.00864398	0.0161558	0.0150993	0.0221051	0.00561689	0.198755
é	0.00201094	0.01496	0.060126	0.0608825	0.0347278	0.0891308	0.0990083	0.0714845	0.0712486	0.0066962	0.489724
y	0.00264789	0.0195067	0.877992	0.0256008	0.0137595	0.0130858	0.0101215	0.00496531	0.00751168	0.000800598	0.024008
e	0.0195849	0.0155705	0.759673	0.0360974	0.117422	0.00676609	0.0277752	0.00261676	0.00363537	0.000686028	0.0101729
m	0.017159	0.178559	0.54717	0.0844848	0.0992822	0.0270436	0.0320567	0.00323036	0.00427631	0.000331826	0.0064067
b	0.00229231	0.00839354	0.549845	0.147884	0.166814	0.0326942	0.0356591	0.0106883	0.00941687	0.00138268	0.0349302
i	0.0143522	0.0269262	0.18327	0.160393	0.401008	0.0846955	0.0286373	0.036733	0.0241265	0.0053966	0.0344618
s	0.0180992	0.0113795	0.00711055	0.350957	0.240134	0.213527	0.0333213	0.0731771	0.0316304	0.00591468	0.0147493
i	0.000907264	0.00156103	0.0324552	0.161852	0.385083	0.116972	0.255576	0.0277573	0.00728572	0.00102318	0.00952711
m	0.000702749	0.00291122	0.00265374	0.191874	0.14368	0.268789	0.293587	0.0655221	0.016682	0.00149806	0.0120992
í	8.55173e-05	0.000533751	0.000859804	0.0816739	0.00486177	0.505111	0.210115	0.0700223	0.0989138	8.8259e-05	0.0277346
d	4.88805e-05	0.000653089	0.000458964	0.0393347	0.00547224	0.20214	0.602925	0.112989	0.0176494	0.0071255	0.0112029
z	1.54809e-05	2.54506e-05	0.000176705	0.0033306	0.00193356	0.035888	0.93126	0.0152568	0.00405692	0.000909741	0.00714647
w	4.40044e-05	4.747e-05	0.000264136	0.00757418	0.000775355	0.0263791	0.92144	0.0282482	0.00790917	0.000681505	0.00663693
a	5.48925e-05	0.000515729	0.0006204	0.0248093	0.000857171	0.0836801	0.766793	0.0629909	0.0457214	0.00125526	0.0127022
l	0.000537576	0.000359159	0.000225607	0.0395439	0.00248351	0.0377419	0.279299	0.218432	0.212945	0.0297057	0.178727
í	9.8615e-05	0.000394137	0.00140421	0.0375093	0.00372887	0.0301118	0.0451112	0.188617	0.208289	0.0499868	0.434749
t	0.000329615	0.00112738	0.00053169	0.0220517	0.00494339	0.0218865	0.0115638	0.106398	0.309984	0.277869	0.243316
ó	0.00152084	0.0015489	0.00077235	0.0105361	0.00152523	0.00383492	0.00899462	0.036726	0.0530135	0.780388	0.10114
a	8.85912e-05	0.000110425	0.000251196	0.00167349	0.00104185	0.00313541	0.0198024	0.0314527	0.0504464	0.830156	0.0618418
</S>	0.000180908	0.000614773	0.000557684	0.0135524	0.00167697	0.0144137	0.00455626	0.0277762	0.319059	0.188624	0.428988
