 	il	y	a	plusieurs	manières	d'	être	contaminé	du	sida	</S>
s	0.162337	0.247153	0.0535042	0.0164284	0.0314361	0.119737	0.257597	0.0355988	0.0616796	0.0110796	0.0034494
i	0.0690076	0.016209	0.0514628	0.0565261	0.101867	0.0377595	0.0302905	0.0201315	0.112263	0.459316	0.0451676
d	0.017292	0.0709949	0.0395326	0.0449814	0.158247	0.0717739	0.0212326	0.040054	0.0191671	0.14714	0.369584
á	0.000166964	0.00166088	0.00206729	0.00131591	0.00774926	0.00482733	0.0020425	0.00757658	0.00243458	0.938582	0.0315765
a	0.00988307	0.00662798	0.0264968	0.0139744	0.0252628	0.0298503	0.0166488	0.00742009	0.0413944	0.0552366	0.767205
d	0.111501	0.096607	0.240143	0.115459	0.104327	0.092165	0.0595879	0.0430797	0.0240779	0.0121135	0.100939
í	0.00742939	0.00847296	0.170412	0.160169	0.197688	0.0763586	0.0119268	0.00249896	0.0383467	0.0612273	0.26547
l	0.0112786	0.0158217	0.11099	0.107125	0.0973246	0.100551	0.136537	0.0751034	0.0421171	0.0178881	0.285265
i	0.0663981	0.0182026	0.253116	0.0948073	0.0704637	0.050018	0.03455	0.0281949	0.0531372	0.0101602	0.320952
k	0.0163369	0.0258944	0.0927282	0.0806704	0.202872	0.178167	0.116889	0.074908	0.0258999	0.0243604	0.161274
u	0.000989769	0.0106081	0.0126056	0.00241779	0.0207141	0.0388641	0.0544015	0.834189	0.00477636	0.00220622	0.0182275
l	3.61272e-05	0.00145313	0.00384235	0.00154951	0.0414117	0.0377168	0.0141312	0.878232	0.00644758	0.000989933	0.0141896
ú	0.000822945	0.00262094	0.0311327	0.0437378	0.210503	0.180563	0.0602869	0.363365	0.0577084	0.0117109	0.0375479
l	0.0118245	0.00604852	0.108813	0.195426	0.12774	0.187191	0.0824582	0.0354574	0.200065	0.0057287	0.0392482
ú	0.0187	0.00563251	0.130431	0.412933	0.141672	0.0772804	0.0302782	0.0175641	0.0731196	0.01437	0.0780187
i	0.00918468	0.00254187	0.0550855	0.476796	0.125874	0.0731668	0.0248679	0.0185944	0.139061	0.0193797	0.0554487
y	0.00492225	0.0122293	0.0575198	0.169677	0.10078	0.05282	0.0279517	0.144149	0.12748	0.0419687	0.260503
í	0.000641072	0.00123346	0.0142894	0.115902	0.131988	0.0318088	0.00237434	0.0206857	0.223417	0.223558	0.234103
í	0.000373474	0.000192031	0.00645304	0.0998472	0.0594721	0.0420847	0.0089102	0.015151	0.149326	0.118327	0.499863
</S>	0.00319416	0.00196604	0.0191397	0.0800652	0.0328122	0.0508293	0.029801	0.0132052	0.273042	0.21304	0.282906
