 	ce	boeuf	est	cornu	</S>
o	0.751588	0.187683	0.050797	0.00592116	0.00401014
l	0.0746932	0.854669	0.0300187	0.0330001	0.00761944
ó	0.0608646	0.348868	0.171429	0.24563	0.173208
m	0.0945309	0.424188	0.0756256	0.33526	0.0703957
i	0.398611	0.385594	0.0713513	0.0463707	0.0980728
m	0.619726	0.110626	0.199795	0.0045845	0.0652682
á	0.575866	0.180184	0.152052	0.0182313	0.0736661
n	0.629649	0.240787	0.081089	0.0203857	0.02809
g	0.0961016	0.842311	0.038768	0.00810835	0.0147108
w	0.0101375	0.851633	0.0256915	0.102904	0.00963345
έ	0.127988	0.129814	0.127602	0.552808	0.0617881
m	0.0816855	0.0288512	0.361264	0.317196	0.211004
b	0.17396	0.0448617	0.0706801	0.592169	0.11833
ε	0.283461	0.200609	0.102598	0.350041	0.0632908
m	0.0951631	0.00691512	0.523739	0.0856715	0.288511
ú	0.343224	0.026028	0.362997	0.166311	0.101439
ó	0.0104033	0.00299887	0.403162	0.0452492	0.538187
d	0.0387796	0.00411247	0.522354	0.0647264	0.370027
í	0.00754851	0.00242499	0.10967	0.0907774	0.789579
l	0.0290786	0.00159036	0.226736	0.0524656	0.69013
a	0.00648279	0.00162788	0.125351	0.0872551	0.779283
t	0.0284271	0.00534736	0.0672184	0.684078	0.214929
s	0.00422034	0.00296751	0.0715391	0.849456	0.0718175
έ	0.00313977	0.000953003	0.0326098	0.893154	0.0701437
m	0.00364099	0.00188686	0.0695928	0.444979	0.479901
b	0.00212235	0.00043694	0.0257921	0.851906	0.119743
e	0.00449647	0.00244231	0.0131349	0.933264	0.0466622
</S>	0.0366117	0.0021453	0.124453	0.0397365	0.797053
