 	elenga	appuyait	sur	l'	abcès	pour	le	crever	</S>
e	0.840581	0.0112453	0.0660691	0.05567	0.0183362	0.00698516	0.00107806	1.88431e-05	1.66489e-05
l	0.915318	0.0597746	0.00297557	0.00398905	0.0149074	0.00100785	0.000451925	0.000184221	0.00139099
e	0.884321	0.0697873	0.0123291	0.00866126	0.00735911	0.00252269	0.00274316	0.00028838	0.0119884
n	0.907397	0.0457219	0.0137271	0.00804747	0.0101437	0.0029815	0.00198018	0.00036373	0.00963742
g	0.839041	0.0830345	0.0203029	0.0128461	0.00608658	0.00695666	0.00241509	0.00123439	0.0280825
á	0.961873	0.011634	0.00896095	0.00413859	0.0010756	0.00281432	0.00165127	0.000115912	0.00773629
á	0.447853	0.348711	0.0726198	0.0348619	0.00987133	0.029072	0.0339179	0.00618423	0.0169093
d	0.249204	0.671019	0.0439526	0.014008	0.00341195	0.0028016	0.00454942	0.00206214	0.0089905
z	0.183587	0.694881	0.0423971	0.0114072	0.00434169	0.00167712	0.00390464	0.000861173	0.0569429
e	0.0754822	0.874583	0.0209547	0.0122393	0.00380259	0.00306518	0.00159797	0.000261274	0.00801339
l	0.10188	0.497593	0.159569	0.0688765	0.024555	0.0169293	0.0220701	0.0235156	0.0850108
á	0.0269856	0.169805	0.128148	0.138229	0.0337019	0.0528043	0.0609623	0.0376143	0.35175
a	0.0339831	0.0758342	0.34629	0.300015	0.050554	0.0480294	0.0481699	0.00748073	0.0896433
b	0.0302625	0.603196	0.105168	0.095611	0.0815133	0.0131377	0.0124596	0.0386075	0.0200444
h	0.00372372	0.225582	0.223022	0.170665	0.285977	0.040109	0.0132655	0.0175685	0.0200864
í	0.00610313	0.390749	0.146592	0.0844956	0.320698	0.0148898	0.00633078	0.00620302	0.0239385
í	0.005772	0.263732	0.133542	0.121419	0.328564	0.0218936	0.00766639	0.0201242	0.0972872
n	0.00352176	0.0183151	0.218252	0.410377	0.183682	0.0540127	0.0274924	0.00741084	0.0769353
á	0.0299996	0.00716734	0.369663	0.434471	0.0488824	0.0314835	0.0144941	0.00298399	0.0608552
i	0.00384035	0.00361478	0.169084	0.431047	0.184636	0.133401	0.0501274	0.00852522	0.0157254
p	0.00446675	0.00949708	0.029504	0.136862	0.637159	0.0732826	0.0190667	0.0759648	0.0141968
i	0.000372421	0.00301141	0.0134443	0.0868283	0.670623	0.0596047	0.00771557	0.145413	0.0129872
a	0.00140506	0.00499042	0.0304753	0.098214	0.632168	0.112347	0.0183213	0.0578095	0.0442699
b	0.000487432	0.000633253	0.027916	0.102584	0.117881	0.534689	0.162212	0.0326172	0.0209803
a	0.000471383	0.00214956	0.0601677	0.129195	0.142259	0.287497	0.0814788	0.20475	0.0920314
á	0.000801652	0.000310397	0.0427239	0.087833	0.085135	0.496297	0.0853093	0.125011	0.0765795
d	0.00333637	0.00165027	0.0140079	0.0115759	0.0138818	0.241805	0.496778	0.0433736	0.173591
í	0.00318321	0.00310405	0.00783864	0.00641671	0.013283	0.0347629	0.0948784	0.0186317	0.817901
a	0.000947671	0.000347653	0.00678398	0.0109607	0.0119375	0.0820832	0.251255	0.323885	0.311799
í	0.0163813	0.0225445	0.0093986	0.00804591	0.0164172	0.0262064	0.134459	0.700583	0.0659643
t	0.0109473	0.0976607	0.0830822	0.0487398	0.0611972	0.038228	0.195422	0.319906	0.144817
ú	0.000383746	0.00222618	0.00211419	0.00290912	0.0054146	0.00761968	0.0203723	0.898372	0.0605878
b	0.00235086	0.000376627	0.00337272	0.0126139	0.00854285	0.0346988	0.0334515	0.682044	0.222549
h	0.00286865	0.000404284	0.0194614	0.0403144	0.0181518	0.066053	0.0676954	0.677341	0.10771
u	0.000707911	0.000373938	0.0178584	0.0437393	0.014742	0.160592	0.168701	0.487943	0.105342
m	0.00018962	0.000209669	0.004592	0.0150974	0.00838033	0.116772	0.304841	0.174753	0.375164
a	0.000147969	0.000199893	0.0118813	0.0209817	0.0134893	0.295643	0.459645	0.0171655	0.180847
</S>	0.000989708	0.000180124	0.00815011	0.0109092	0.00725506	0.102694	0.26621	0.141512	0.4621
