 	aujourd'	hui	le	notable	a	porté	le	gros	pagne	aux	bordures	rouges	</S>
m	0.510499	0.369784	0.103085	0.00269272	0.00400206	0.00153357	0.00219446	0.00384401	0.000620411	0.0015377	0.000155178	4.46603e-05	6.58061e-06
w	0.0511868	0.0368519	0.0973595	0.511532	0.0776235	0.00544631	0.0217536	0.151324	0.0102261	0.013814	0.0101577	0.000647376	0.012077
ε	0.062166	0.067331	0.00595887	0.860233	0.000395695	0.000393862	0.00142955	0.000968394	0.000316433	4.46221e-05	0.000592386	0.000121435	4.93147e-05
n	0.193087	0.126832	0.0298863	0.563921	0.0377637	0.011133	0.0220291	0.0116865	0.000693499	0.00111397	0.000826612	0.00014489	0.000882083
έ	0.649912	0.0722248	0.149866	0.080009	0.00688145	0.000662399	0.00954287	0.0186073	0.00545265	0.00245405	0.00178376	0.000366365	0.00223753
p	0.280241	0.129813	0.348341	0.0639656	0.0937219	0.0127165	0.0136497	0.0137386	0.00555892	0.00845285	0.00578161	0.00189314	0.022126
á	0.183706	0.316403	0.065064	0.198244	0.0194891	0.00352889	0.00699462	0.00738077	0.0978395	0.0355846	0.0202633	0.0303852	0.0151164
b	0.0512136	0.491048	0.16764	0.162244	0.0207761	0.00682225	0.0053509	0.00778339	0.0576222	0.00377757	0.00444896	0.00616049	0.0151124
h	0.0616344	0.168294	0.0854459	0.0702595	0.0331105	0.023692	0.0274361	0.0777864	0.0333757	0.0998373	0.050454	0.113073	0.155602
a	0.170593	0.290223	0.183135	0.217333	0.0152931	0.0186794	0.0144568	0.0176064	0.0283513	0.00610951	0.00598171	0.00245757	0.0297805
á	0.0391096	0.00942634	0.170549	0.0436718	0.429731	0.137931	0.0792912	0.0344836	0.0194139	0.00786815	0.00726539	0.00209541	0.019164
l	0.0125659	0.0100431	0.0432372	0.0188531	0.378617	0.357583	0.117799	0.0110494	0.0267354	0.00714718	0.0080153	0.00388452	0.00446963
á	0.00304528	0.00396365	0.0102251	0.00589173	0.137736	0.617364	0.103936	0.0234812	0.0339746	0.0110426	0.011368	0.00878013	0.0291908
r	0.00626045	0.00499927	0.018654	0.00682332	0.0766497	0.417405	0.189066	0.0424995	0.153959	0.0141824	0.013858	0.0160976	0.0395462
i	0.00504957	0.00185072	0.0843593	0.01019	0.0838198	0.209591	0.30197	0.157607	0.0975096	0.0148955	0.0135989	0.0115862	0.00797136
l	0.0034131	0.000805384	0.0540675	0.00610078	0.0501166	0.0236549	0.147132	0.267873	0.174108	0.123008	0.0996084	0.0315843	0.0185284
e	0.00236161	0.00537903	0.0052106	0.00281505	0.010608	0.0143944	0.0694277	0.0719549	0.455557	0.0741009	0.064189	0.141274	0.0827276
s	0.00175796	0.000865389	0.00350388	0.00115253	0.00346063	0.00324664	0.0417174	0.066807	0.361597	0.101126	0.150301	0.232637	0.0318278
w	0.0010907	0.00096436	0.00104878	0.00144664	0.00222376	0.00245811	0.0363088	0.0167787	0.413335	0.0349268	0.118352	0.240701	0.130366
a	0.000263298	5.62963e-05	0.000262253	0.0029222	0.000801889	0.000528799	0.0695019	0.0728662	0.435442	0.0353142	0.247329	0.0727623	0.0619496
</S>	0.000782849	0.00064638	0.00114377	0.00103849	0.00279486	0.00273734	0.0453253	0.054015	0.265259	0.0782444	0.212218	0.0718535	0.26394
