 	le	lézard	à	gueule	rouge	vit	dans	la	plaine	</S>
y	0.946627	0.00379456	0.0143498	0.00222352	0.0232619	0.00618023	0.00113942	0.00215387	0.00016095	0.000109216
o	0.846565	0.113154	0.0381491	0.00138411	0.000564015	1.49448e-05	4.48831e-06	7.19809e-05	4.09566e-05	5.19967e-05
l	0.00885167	0.76529	0.216159	0.00747156	0.00148157	0.000126385	1.69607e-05	5.00662e-06	0.000295282	0.000302222
i	0.0690191	0.33713	0.361645	0.13487	0.0544707	0.00226781	0.000166006	0.000713394	0.00577939	0.0339381
a	0.00290555	0.00322132	0.154608	0.0804362	0.685717	0.0558735	0.00396699	0.00496448	0.000997198	0.00730938
d	0.00938075	0.00188017	0.0631436	0.0465254	0.290564	0.316061	0.118227	0.107243	0.0110148	0.0359602
i	0.0022268	0.00108886	0.32495	0.0334356	0.0434985	0.105231	0.166965	0.231278	0.0109002	0.0804265
í	0.00138907	1.75627e-05	0.0350052	0.0320793	0.155848	0.254293	0.274841	0.203294	0.034364	0.00886922
s	0.00197311	0.000171176	0.00547943	0.0020209	0.00798848	0.0171718	0.198698	0.683403	0.0773248	0.00576961
ó	0.000165584	3.59647e-05	0.0139217	0.0129629	0.0119247	0.0314994	0.400157	0.404142	0.0332939	0.0918961
l	0.00411826	0.000492008	0.00364057	0.00300642	0.0101396	0.00460226	0.0345456	0.165622	0.753535	0.0202982
ω	0.000121312	0.000186676	0.00849716	0.00837835	0.00571473	0.00182389	0.0385271	0.206966	0.714392	0.015393
n	1.57048e-05	3.18153e-05	0.00303418	0.0026201	0.00311474	0.000270395	0.0041533	0.00857107	0.973279	0.00490927
g	0.0006979	0.00222036	0.00730431	0.0166191	0.00545145	0.00196094	0.0201385	0.0827779	0.801427	0.0614025
ώ	0.000603532	0.000276619	0.000993764	0.00120724	0.00712456	0.000103491	0.00158286	0.0338538	0.842204	0.11205
</S>	0.00034987	2.7251e-05	0.00212397	0.00266438	0.00724808	0.00199535	0.00689705	0.0558838	0.302664	0.620146
